author_name,rating,text
Vicky Chen,3,不大支一根25，味道不錯但是醬太濕，沾上花生粉後整團沾醬和著花生粉一起掉落，而且花生粉不夠香。但是沾醬本身味道不錯
Sophia Liu,5,來公館必定要來上一支豬血糕，目前公館商圈唯一好吃的豬血糕大概就剩珍記了，老闆都會先問要不要辣、加香菜之類的，甜不辣也不錯，點了馬上現吃風味最佳！
沈彥儒-小個,4,一支25元，蠻便宜的，不大不小剛剛好，軟硬適中還蠻好吃的
Joy Chiou,4,"25元 的確不大隻
花生粉不夠多 不夠香
咀嚼的時候 很有糯米味
就看個人口味是否喜歡"
Brad Chou,3,口感軟Q 醬汁味道還不錯 ㄧ支25 算是還可以 食量大可能要吃兩支
夏雪,4,"從10元吃到漲價 30年了
是我吃到最好吃又大支的豬血糕"
Casey,1,看評價過來吃，一吃⋯天啊有好奇怪的味道！鹼味？腥味？而且太軟、花生粉太甜
eattingnow現在吃美食,5,"《 必吃！必吃！台大公館必吃的 珍記豬血糕 》
想每天看美食貼文👉IG立即追蹤 @eattingnow
•
✔  豬血糕- 25元 -👏 👏 👏 👏 👏
心目中最好吃的豬血糕
一家是 內湖路737巷豬大郎豬血糕
另一家就是 珍記豬血糕
豬血糕非常軟嫩適中
配上花生粉、香菜
還有獨特的醬料
口感真是非常豐富
我可以一次吃兩隻
😄"
史嘉蕾,3,"豬血糕還不錯
粽子普通"
蔡哲翰,4,"來公館常常就會買來吃, 這家的豬血糕味道還不錯, 雖然不是很大隻, 但是價格也還算便宜"
黃楚儒,5,"遠近馳名的珍記豬血糕😚
從十幾年前就一直吃到現在😊
雖然美好的價格已經回不去了🤣
但至少那美味依然存在👍"
Foenix Acala,4,真的很久了，至少20年以上，從旁邊還有紅麵線開始就吃了。也從一支15元吃到40，再到現在25。簡單樸素好吃
Wayne,2,東西是不錯吃，以前來的時候態度也都很好，買粽子想加花生粉都可以，不知道是不是現在生意太好，這次想加就被回覆：我們粽子都沒有再加花生粉的喔！態度也不是很友善，以後可能不會再來買了。
chin-yun Ho,3,"跟內湖737巷的豬大郎比，豬血糕偏軟
但醬料調的還不錯

認真來說，還是豬大郎略勝一籌"
劉影,4,小小巷口轉角的一間店面，一坪多吧。我常來買他的豬血糕。很少有這麼好吃可口😋的豬血糕了。過去石牌夜市有一個好吃又大碗的，這兩三年消失了，十分可惜，不過有找到這家很高興，家人也喜歡吃。有人說老闆打人惡劣，我覺得不清楚發生了什麼就不要對一個人妄下評論比較好。不過我面對數不清次數的老闆，都是對人客客氣氣的，話少，做事簡單俐落。不知什麼刺激了他，為他祈福。
李櫻,5,"口感好吃，公館夜市裡的美味，老闆很貼心叮嚀不要沾到衣服、小心燙、小心拿😆讓我再次評比再加一星！然而又忘記拍店面跟豬血糕了！滿滿的花生粉、好大一塊、軟硬適中！很香很好吃！這也算是補血點心欸！！來台大可以來吃不能錯過cp值超高國民點心！
找錢時候還叮嚀，不要急錢放好再拿豬血糕！超貼心的🤗"
蕭公雞,5,很軟很Q醬料夠味。
Meck大叔,4,公館有名的 豬血糕專賣店 豬血糕柔軟無腥味 花生粉 香菜 豬血糕 單純的美味！
陳志堅,5,"豬血糕好吃
老闆娘給的花生粉超厚
很推"
達,5,"目前公館最值得買的 豬血糕
餵口大的人建議買2隻"
林主生,4,25元，沒有很大支，但還不錯吃！
小葵,3,豬血糕沾了滿滿花生粉跟醬汁 ～ 好吃
Hugh Chuang,5,不錯吃
無無,3,豬血糕有點軟爛，吃起來與一般豬血糕沒什麼太大差異
Wentyng,5,"真的很好吃，豬血糕很Q,
蒸的剛剛好"
ren ren,5,"一支25元cp值高
豬血糕口感很軟
配花生粉跟香菜好好吃"
A O,1,今天去買個豬血糕 跟甜不辣 明明跟老闆說 不要辣 不要香菜 老闆也跟我复頌了一遍 結果我看到老板加了辣我趕緊跟老闆 講 沒想到 老闆脾氣很大把做好的東西用力丟在桌上 說我沒講 唉自已明明跟我念了一遍 老闆脾氣還真大
shake square,5,好吃香味夠，加點辣更美味
Melody Wang,5,"路過買一隻
血糕的花生粉沾好沾滿
口感軟嫩適中
突破記憶裡豬血糕總是硬硬難咬黏牙的形象"
