author_name,rating,text
SCOTT,5,參加過一次，覺得很棒! 行程規劃跟嚮導都很專業
Megan Pan,5,嚮導人都非常好～又專業！
KEVIN KUO,4,沒爬過百岳，第一次選擇跟野訊的雪山團，整體時間都抓得還算不錯，不會有時間到了，可是下一步驟的行程需要等待很就的狀況出現，從交通接駁、吃飯住宿，感受的到領隊的專業與用心，讓我第一次的百岳沒有留下遺憾，可惜的是整團的團員水準落差真的太大，有少數平時連郊山都沒有再爬，有些人已經爬過很多百岳了，雖然知道公司在商言商需要賺錢，但是還是希望能稍微挑選一下至少團隊成員，爬的時候真的很怕因為體力不好的人而必須整團撤退的情況發生....
spin chan,5,參加幾次野訊百岳團，評價很好
Pingo Chen,1,我以前常參加野訊的行程，實在說領隊都很好，但自106年7月26日參加南湖4日行程後就不再參加野訊了。因碰到颱風提前一天撤退，但公司只願退還300元；隔沒多久我再參加別家的武陵四秀3天行程，不巧發生同樣狀況，但那家主動退了1000元，這是我今天藉這機會給他1星的原因。
Wang Jason,3,退款速度緩慢，需自行主動聯繫退款追蹤進度
Huiching Lin (Sophia),5,細心而貼心的服務流程，深得人心
。 A,3,要仔細看招牌才找得到
Andrew Lin,4,"強大的嚮導群,可以很安心的爬山。"
凌波零零,5,去年10月第一次參加登百岳去嘉明湖是野訊主辦，嚮導和領隊很專業，教導呼吸及步伐行走讓第一次登百岳的我從此愛上台灣美麗高山，至今年6月和野訊登過3次了，謝謝曾經帶領我的6位優秀嚮導及領隊，你（妳）們真的很棒！！
周董,5,服務佳夠專業
Sofia Pan,5,領導專業，服務都很好。
Benson Huang,5,聽到野訊給100分就對啦！沒聽過野訊，那..............。
皮寶2Y,5,很棒的領隊 辛苦了 再次感謝~!
楊自強,5,熟悉的团隊>熱情的招待
薄雪草,5,優質的服務～平實的價格
遠騰王,5,專業
王耀輝,5,專業登山公司
Tony Kuo,3,全國最大的正規登山行程公司
Koala Shen,5,嚮導經驗豐富，豪華登山旅行社
呉欣憲,5,"(由 Google 提供翻譯) 如果您正在尋找偉大的導遊，在台灣的大山上進行深入而安全的旅程，這個登山俱樂部是您應該考慮的。雖然台灣以其壯麗的山區景色而聞名，但處理其中的交通和住宿真的很令人沮喪。
這是俱樂部將幫助很多。他們出色的交通和導遊服務將使您的日程安排變得更加輕鬆，但仍然讓您的旅程充滿挑戰和難忘。

(原始評論)
If you are looking for great guides to have a deep and safe journey in …"
台北小柳,5,"(由 Google 提供翻譯) 棒棒

(原始評論)
棒棒"
鎮南街小敏,5,
Chih-Yu Chuang,5,
Ralph Huang,4,
Tony Kuo,4,
郭令傑,4,
isao sai,4,
尪仔標,5,
影印機出租儀美科技,5,
王玉雄,5,
鄭仲一,4,
Luck CHU,5,
bear J,4,
