author_name,rating,text
B.Man J,4,我本來一直以為這家是健身房……，在ubereats上看到才知道是簡餐，主打健康系列，是現在很流行的風潮。點了菇多多跟咖哩飯，以170左右的價位來說感覺稍微貴了點，但是仍在可接受範圍。沙拉普通，炒菇好吃，烤麵包也不錯不過因為外送稍稍硬掉了。份量蠻剛好，吃完8分飽。整體個人覺得3.8/5，缺少特色是比較可惜的地方。
mi mi,3,"墨西哥雞腿排💰229❤️❤️❤️.5🤍
佛卡夏微脆度還行，雞腿不是太大塊，肉質軟嫩味道正常，蛋冷冷的，特製鮪魚是鮪魚+洋蔥+黑胡椒調製，沒有特別好吃，杏鮑菇&沙拉皆普通

煙燻鮭魚沙拉💰199❤️❤️❤️🤍🤍
煙燻鮭魚有兩球，味道正常鹹度足夠，沙拉使用的生菜與期待有落差，有點失望🥺

伯爵鮮奶茶💰套餐加購55❤️❤️❤️❤️🤍
套餐加購可享有半價，表現正常

藍莓蘋果香蕉果昔(無糖)💰169❤️❤️❤️🤍🤍 …"
YiHung Peng,5,"每次來跑站都會吃墨西哥雞腿排
跑站由於消防安全問題
所以餐食都是以輕食為主

另外跑站的甜點都相當不錯
花生香蕉吐司可以說是吃了會愛上

比較令人讚嘆的是老闆娘對公益的熱沉
長期支持贊助長跑運動員
這點令人相當敬佩

如果有更多企業和她ㄧ樣
我想台灣能會有更多且優秀的運動員"
Shaun Chen,4,環境清新乾淨，食物精緻，可惜份量對男生來說，稍嫌不足。
michelle chang,5,"店員店長人很好，老師很認真，很喜歡上星期三晚上Iris老師的伸展瑜珈課程
環境很乾淨，也提供很大的空間做使用"
Johnny Wu,5,位於大安森林公園對面，新生南路上，有餐廳有教室，再往裡面走還有泡腳池、休息區、淋浴間
Wan-Chun Chung,5,伸展瑜伽課程都很不錯👍小班教學，環境設施乾淨，工作人員服務也不錯
阿瑋,5,超讚的空間～～～歐陽靖個人特調飲也非常好喝～
林傑,4,"空間乾淨寬敞，食物簡單美味。
運動後補充能量的好去處。"
Molly Liao,5,"很喜歡上每周六的課程,老師很用心指導動作,也很會教學!
推薦大家來這上課,環境也很乾淨衛生:)"
Hung-Ya Lien,5,過去一年的時間我一直只有使用跑者設備，直到2021年2月才開始上不同的課程，例如TRX，pilates等，現在更加喜歡森林跑站了。設備整潔度、師資、以及所有工作人員都很親切，真的是個運動的好地方！
Tzu-Hsuan Huang,5,用餐區、更衣室、淋浴間跟團課教室環境都很舒服，課程很棒，櫃檯人員很親切☺️
Miss Wenwen,5,"帶小朋友來參加森林跑站夏令營，營隊課程非常豐富，小朋友很開心。
小孩參加營隊時，家長點餐有折扣，在森林跑站用餐很舒適，空間很寬闊，餐點營養健康不負擔，還有提供免費Wifi。"
Julia Hsu,5,老師很細心，上完課很舒服，上課環境乾淨，很不錯的地方
李雲珊,5,環境明亮乾淨～小班教學老師很認真～給讚👍
Cynthia Tsai,5,推薦大家來這點運動 場地設備周邊環境都好👍
Queenie Liu,5,來上體驗課 老師跟同學都非常親切 ，環境非常乾淨，工作人員也解說也很詳盡友善！
yumi chen,3,廚房人員態度冷淡，餐點偏貴，外帶也沒優惠也不提供紙袋，後來我要有給我，但就我自己裝。觀感不好，服務與價位不成正比。
李詩瑩,5,課程選擇多，選課方式自由，而且還提供毛巾！置物櫃用密碼鎖很方便。
徐子茜,5,設備很完整，還提供毛巾！置物櫃不用自己帶鎖很貼心，團體課程老師都非常的專業
吳威德,5,場地乾淨整潔，老師教的都很好，還可以泡腳按摩不錯！！
Summer Yin (Summer),5,提供淋浴、足療和餐食的好地方！
Minhui Huang,5,"不錯的料理，不錯的空間，有插座也有Wifi，不過好像有點斷斷續續的，如果不介意的話可以來。

晚上也有一些課程，有機會再來體驗"
Ether Wu,1,沒有服務精神，沒有同理心。只有推卸責任
Bernice Chen,5,環境明亮乾淨，櫃檯人員親切解說
katy yu,5,課程很好，環境非常舒適！可惜離捷運站有點遠
Who AreYou,5,環境舒適、餐點美味又平價
Ivy Hsu,5,老師們細心教學，場館人員都很熱情，場地乾淨！
羊咩,5,地點便捷，很適合繁忙之餘抽空來運動，現場設施可提供大小毛巾與置物櫃，運動完亦可洗澡再去上班。很方便，這裡的人不管老師還是同學，工作人員都很親切。
孫大毛,5,跑者休息置物的好地方！也有肌力課程可以選擇，提升體能加強耐力！運動後更有國手喜愛的餐點及水療，讓運動後能重新獲得滿滿的活力！超級讚，超級推薦！！
Er-Cheng,5,教練很専業，因材施教，推！
Julie Wang,5,環境優良、工作人員親切、老師專業
Michelle Kuo,5,外送的牛肉丸羅宋湯很好吃，丸子紮實多汁，滿滿的蔬菜菇類超級飽，而且不會太鹹喔！
丁美華,5,環境優雅乾淨，老師上課很風趣，課程內容豐富完整，不僅有氧、 拉筋、 按摩都有照顧到，是很完整的健身課程。
Julie,5,ㄧ個很特別的店，可以吃飯喝飲料，也可以來運動，或是在室外運動完，想沖個涼，也可以來寄放物品的地方，依照個人需求，很便利的地方。
翁鈺翔,5,很棒的場地，UAT也超級燒腹部的，期待腹肌的出現～～
Ding Ding,5,老師會依照新舊生分別給訂不同強度訓練，強調姿勢標準，次數不重要。更隨時注意且糾正學生姿勢。
黃奕傑,5,設施完善乾淨，教練親切專業，服務良好666
Yu-Chieh Cheng,5,超療癒舒壓欸欸欸！有好多課可以選擇，肚子餓餓又餐點可以吃吃🥺有上課還可以泡腳交⋯我真的想不到為什麼不來😌哦～裡面的人員全部都是佛系人好好～總之就攏來！
吳孟璇,5,"第一次來森林跑站，食物意外的很好吃！
帕尼尼的吐司烤的很酥脆，裡面的肉也很多汁味道很好！
沙拉灑上一些堅果之後又增添了口感，真的很好吃～
最近還有週年慶活動，可以抽徽章，超可愛！"
紀奇夏,5,地點很好，鄰近公園，店內舒適，餐點不錯。
Chin Pei Fan,5,環境明亮乾淨，健身課程多元，教練都很有熱誠，人也很nice，非常推薦！
Yu Yu,5,環境舒適～教學剛剛好
YuChang Fu,5,環境佳、師資優秀！
Annie,5,"用ubereats叫了雞腿排餐盒。
非常好吃！還有附一杯飲料！"
Claire Sun,5,師資都不錯喔！
Ren Feng Ding,5,老師講解動作仔細，也會針對新舊生給予不同強度訓練。
YungYu Huang,4,"位於大安森林公園的優質補給站 - 給運動者休息, 補充能量的好地方 !!"
林研臻,5,"去大安森林公園練跑可以在這裡寄放物品，我有購買入場券，包含寄物、淋浴，場內有提供飲水機。每次練跑結束在這裡洗個澡再回家很舒服。森林跑站的東西不錯吃,走的是精緻路線,而且在大安森林公園跑步不再害怕留在座位上的東西被幹走了"
李若安,5,禮拜六的TRX課程，老師會分新舊學生的能力給提供課程，是個很好的體驗。
張嘉陽,5,舒服的運動好地方。
浩杰,5,教練很棒，訓練跑步的好地方
段雲飛,5,地點位置特別好，餐飲好吃 !
李風,4,設備齊全、人員親切、師資專業
Esther Hsu,5,環境乾淨舒適，有插座可使用
Pei,4,早餐麵包很好吃，名人飲系列也好喝，空間舒適
劉宇軒,5,很棒 場地佳 訓練充實
Ruoh-Fang Yen,5,老師很認真，有分新生舊生因材施教！
陳宇緻,5,教學認真場地優。
Bryan Lin,4,交通方便，環境舒適，專為跑者規劃的綜合性商店
羅偉辰,5,很棒的環境，教練人很棒
