author_name,rating,text
劉珮芯,1,"🥨低消是任一商品🥨

📍百香乳酪塔（忘記價錢🙃）
📍草莓塔 $185
（其實店家都有幫塔取很可愛的名字，但我忘記了🥲要多健忘）

1. 百香乳酪塔端上來是微凍的狀態，店員會建議放五分鐘再吃，個人覺得可以再更久一點，對敏感性牙齒比較友善（不是）等融化多一點，介於冰沙跟乳酪的口感之間是最好吃的❤️酸酸甜甜，再加上上面點綴的蔓越莓乾，非常好吃🥺

2. …"
Renjie Han,3,"檸檬塔與藍莓塔的餡料部分因為原本是冰凍起來的，因此上桌前有詢問先幫忙切開。不過檸檬塔在吃的時候餡料部分會因為解凍過程持續進行，會泥化散開，於是跟塔皮分離。或許有些人喜歡但我剛好不是。畢竟看著餡料如同泥漿般滑出塔皮在甜點盤上，只有經歷過才懂那種攤在盤上的感覺。

藍莓塔就表現得蠻好的，茶也可以回沖，有很多種可以選擇。"
王閃電,1,"店名是魏如萱的歌買你
裝潢我也很喜歡

但不應該把每個客人都當奧客
店員語氣真的很差，外面突然下大雨
疫情生意不好也沒人好受
我把外帶食物帶進來是我不對
（我中午沒用餐，突然下大雨我只好帶剛買的食物進來，何況我打算帶回家吃，根本沒跟店家要餐具）
（我知道不能用外食，打算回家的時候冰冰箱明天再吃）
所以我先詢問了內用的低消，後來又覺得太餓應該買點鹹食
但我詢問菜單鹹食是否只有那幾種？
（只有貼在牆壁上的沒有menu)
只是想知道疫情期間有沒有更改或不供應的， …"
John Chih-Chung Lin,1,咖啡完全不行，口感味道非常糟糕，根本不該端上桌的品質，不如去喝7-11。抹茶拿鐵更是悲劇，粉完全未化開，苦澀又過甜。另甜點也滿傻眼，寧檬塔要等退冰？等了吃還是硬到不行像在吃冰ㄧ樣，餅皮的脆度拿捏也非常糟糕。整個消費跟餐點飲品讓人覺得像把錢投水池浪費，這真的不如去全家Family 買整套也優太多。
劉千慈,5,"非常舒服、甜點又好吃的店～
很多角落都看得出老闆的用心
檸檬塔 ＄140 比一般的口感更清爽（如冰沙）又酸的夠勁
低消不限品項非常佛心。"
Pin Liu,5,"買你的塔實在太厲害了！！
會有驚艷的感覺 （平常不是很喜歡塔類的人）
買你仙奶茶也超好喝
加寒天口感很不錯
希望買你暫時不會消失在辛亥路上🥺🥺🥺"
州,5,"【祖母綠寶石 3吋 185元】
來買生日蛋糕！裝潢看起來很不錯，店員也很有耐心的介紹～期待拿到成品 👍👍"
Josh 鎮宇 진우 (GrooveIsGood),5,"百香果檸檬塔
雙倍酸檸檬塔
真的是超好吃
酸得都剛剛好
一個超有層次
一個酸到心坎
冰淇淋式口感
必點必吃必愛

非廣告文🙅🏻‍♂️
大心推薦💕"
Helen Chang,5,"來吃聖誕跟跨年限定晚餐
檸檬塔好吃到不行❤️❤️❤️
印度香料奶茶的香料味道很特別
熱紅酒跟肉醬薯泥起司我也喜歡💕

以後還會想吃吃塔喝下午茶☕️"
陳美儀,4,蛋糕很好吃，但檸檬塔外帶包裝有待加強，底盤是個大洞我們真的蠻傻眼🤣
