author_name,rating,text
yang Iaia,3,"隨著師大商圈沒落之後，已經幾乎沒來來這邊逛了。
今天是禮拜五晚上，餐廳來客數比印象中少，以前客人多到到巷子那間的二樓用餐，沒想到今天在巷子那間的一樓只有我們這一桌客人。
餐點：點了海鮮蛋炒飯、花枝酸辣河粉和蝦醬空心菜。炒飯味道蠻好吃的，酸辣河粉味道沒什麼變，不過感覺整碗份量變少，吃完竟然覺得有點空虛····
其他：餐廳擺設沒什麼變 …"
蘇阿璁,4,"隱身在師大夜市裡面的雲南料理，今天點了椰香雞肉飯、打拋雞肉飯真的很好吃👍
附餐飲料烏梅汁好喝😋"
Henry Lin,3,廚師、接待、顧客多操著外語談話，感覺真的到了外國，食物口味也是東南亞酸辣香茅味，想經驗一下外國口味可到此一試，價格不貴也不算便宜，客人很多，廚師很忙，需稍等待。
Shuyun Chen,4,食材新鮮、每樣菜都滿入味的，加上價錢親民，多人聚餐是不錯的選擇。
熊傳宇,1,"撤！快撤！

這裡是國中時期愛來的店家，相隔十幾年後再訪簡直回憶壞滅...

店面老舊是當然的，但整潔不能馬虎吧？一進門便是厚重的油煙味，裝潢積滿了油與灰塵的混合物；一坐下看到菜單重複使用， 不免覺得店家小氣，至此仍抱持一點希望，想回憶學生時期的味道，但端上的餐點令人絕望... …"
黃沛瑄,1,送餐速度要多慢？一份炒飯而已十五分鐘炒不完，比我晚到的客人的菜都炒出來了，遲遲不送餐我不懂，一直說有在做了，那為什麼要等那麼久呢⋯⋯
Murphy Chen,3,便宜的小店，環境差了點，食物口味和以前差不多。
Jerry Chen,5,吃了不少家打拋豬飯，就這裡比較合胃口。不會太辣，口味也恰到好處，吃了好一段時間每次都是專程來師大吃這家。月亮蝦餅口感酥脆有厚度，搭配醬料真的很好吃。點飯會附一杯酸梅汁。
林致宏,5,"二十多年來，不變的好滋味
打拋豬微辣不死鹹
泰式河粉清爽料豐
好吃"
Leo Chang,1,有夠爛的 菜還沒吃完就把摩摩喳喳送上來！ 服務生是有問題嗎！ 很不推！ 飲料兩杯叫ㄧ樣 容量也差太多了！ 這家實在不推！
林亞亞,5,"平價道地又美味
適合三五好友聚餐聊天！"
JBH,1,"快～逃～啊～
真的泰難吃欸！！！
好後悔當初沒看評論就進來
超同意熊大的評論
點了最安全的椒麻雞跟涼拌皮蛋
天啊 這兩樣都能夠這麼難吃真的也是一種天賦ㄅ
那個醬汁真的不是因人而異那種 是真的超級難吃 此生沒吃過這種味道 超噁 大家真的進餐前要好好看評論啊啊啊啊啊 我那300塊可以去泰街頭吃ㄍ舒服欸 氣死"
Chia Mu Lee,2,餐桌與椅子有明顯的菜汁與水還要自己拿紙擦，非熱門用餐時段且店內只有兩桌人不擁擠的情況下居然只能擠角落雙人桌
