author_name,rating,text
anita huang,5,醫護相關書籍，原文及中文版，都有
孟法吟,5,每回來都有新發現的地方。只是時間不夠用，不能太貪心買太多.....
Toby Chen,5,"終於找到了！原來是搬進巷子裡了，新地點較為難找，但相對的也比較安靜，少了很多逛街來來去去的民眾。新地點的一樓看起來十分乾淨明亮，有種讓人耳目一新的感覺，讓人感到非常舒服。合記書局以翻譯國外教科書為主，早期很多學校採用他們的譯本。本人早期就讀醫學相關科系時，發現有許多護理學校(高職)或五年制、二年制醫學專科學校都會用他們出版的教材，算具有相當的知名度。剛才看了合計圖書的官方網站，出版圖書類型如下: 醫科考試複習叢書、中醫學、牙科、基礎醫學、內科／臨床醫學、外科學 ／ 整形外科 ／ 麻醉、疼痛醫學、復健醫學、婦產科、小兒科
眼科、耳鼻喉科、皮膚科／醫學美容、泌尿科、精神科、護理學、食品／營養學、藥學／藥物資詢及獸醫學。種類相當豐富!!!"
Glider Wang,5,專業醫學書籍出版社與書店，新裝潢移到地下室ㄧ樓，空間變大也很美，可以慢慢逛
Yueh Chan Lee,5,在台北讀書時就常常光顧，想不到現在已經重新裝潢，真的很舒適，醫學書籍一應俱全，還常常有特價商品，讚！
Xieron Chen,5,醫學書籍種類多 現場價格會再打九折
Harper,5,"隱身在巷弄內
服務人員態度都很好👍"
Luke Yang,5,書比網路上登錄的多很多，很豐富，店員態度很好，書局的環境也好
李炤彤,5,店員對書都瞭如指掌，態度親切，服務非常周到，而且是一間應有盡有的醫學類書籍書店，分數超過五顆星哦
林玉彰,5,需要找中外醫學專業書籍來這裡！店員專業有耐心。
楊智元（Ciyuki阿丸）,5,"書籍齊全，有桌子可以稍坐休息，也可以在裡面閱讀選書。櫃檯都很親切，推薦和他們買書。
照片是前一陣子的活動"
喬瑟夫,5,服務很好 書也很齊全
李崇輔,5,很多書給試看還不錯，但是地下室空調弱弱的真的有點悶
Yang Allison,5,"店員親切專業
客人們也很熱心
環境舒服又專業的地方"
Bears Yang,5,優良書店，指示明確
ALEX HSIEH,5,買醫療書的好地方，一定要確定自己有沒有會員喔！
Jul Hua,5,電話中先預定書籍，感受到非常親切的服務！
Dean Vv,5,很親切幫忙找書，感謝~
孫玥蓁,5,"在小巷子走進去的地下一樓
買書有打九折~"
黃昭程,5,"醫學書籍種類齊全豐富，環境舒適，可供買書者先翻閱。
今天朋友陪我過去買書，遇到一位長髮女孩，身穿白色上衣、寬版牛仔長褲，戴著復古風的金絲眼鏡。
她跟她的另一位同學正在選購內科醫學的書籍，我朋友對我猛烈點頭眨眼的示意，顯然極度想要上前攀談，但害羞內向的他遲遲不敢邁出那一步，或許是認為我會為他搭起一座友誼的橋樑。我看了看手中的脊椎徒手治療，想起了我阿公跟我說""每個成功的男人背後都有一條脊椎""，若我像以往一樣再三幫他，我可能又得再跑一趟警局，我絕情地埋首於我手中的脊椎徒手治療。
看著他失落的眼神注定今年聖誕節一定又得一個人過，晚餐一起吃的鯛魚燒都被他哭成了鯛魚湯。單身男子的內心往往就是這麼害羞、內向，且懦弱。"
蔡承臻,5,書籍豐富，服務態度佳，可以使用藝fun券
Giselle Chen,5,店員服務態度很棒，環境很舒服
YU-FAN Chin,5,"地處小巷子內，不太好找，車是開不進去的。
店員十分熱情、和善。
後因有小瑕疵換書，也沒有絲毫的怠慢及不悅。非常優質的店家。"
靜ㄦ,5,"因主管介紹而來
裡面有各式各樣醫學書籍及英文書
店員十分親切且可先看書本內容在決定是否購買
環境安靜乾淨有沙發可坐，很棒！"
