author_name,rating,text
Ant Ant,1,本來覺得很棒的健身中心，不收會員，明碼實價，沒有套路，結果預約成功後，說好教練要來電話確認也沒有，電話終於打來了說價錢是三月前的價錢要漲價，打電話跟老闆確認，態度不好，明明自己FB價格還在，也沒有標明三月到期，還推給我說，可能我還沒看到，廢話當然沒看到！你根本還沒PO啊！一句不好意思也沒有！既然這麼跩那只好讓別人去捧場了！
妹霞,5,健身房地點很便利離捷運站近，健身房的人都很親切會再去
Masao,5,在台北市南區想練單次最佳去處
艸氏,4,"復古草根的環境超帥氣，每次看到『健身強國』的匾額都覺得心中充滿力量
器材對我這初學者來說都很夠用，兩面對外窗的view很好，廁所也非常整潔，費用親民離家近"
源欣Ray,5,箘長超級專業，健身房很溫暖，有人味，有家的感覺
Cheng-Hsiang Chuang,4,單次50，便宜，無盥洗室，有廁所、飲水機
Changaroo,5,隱身在大都市裡的秘密基地，器材多元👍
阿宋,5,很不錯的家庭式健身房
Andy Du,5,"一次50很便宜
器材也不錯
有些器材很舊但很酷！"
高宇翔,5,便宜的單次健身房
Michael Wu,1,"之前剛開始有網紅推薦的時候，覺得教練課很不錯教練也很專業，約好要跟朋友一起去報名
想說有網紅推薦，應該很難約時間所以想先透過FB私訊詢問教練還可以預約的空檔來預約
但是FB私訊的回覆態度真的不是很好..."
江君修（阿修）,5,72歲院長 陳能通教練 健體美育俱佳 兒子小四學習至現在每天放學報到都唸到大安高工二年級了
Allen Lai,3,器材夠用，該有的都有，不過空間不大，地下室也偏暗
潘奎源,5,單次五十的健身房不多了 超讚
Ashleigh Wang,5,50元可以練一整天！讚！
Yalu Lin,5,設備齊全，特別是有些別的地方沒有的特殊按摩球或是彈力帶等設備
joey Koko,4,老闆算好人。槓片紮實。
周雅淇,5,走到3樓，不要懷疑開門進去就是了！自由槓和啞鈴多，hardcore型的人會喜歡。廁所乾淨、有飲水機，空調舒服，推薦來這裡練練看~
Da hsu,5,小型健身房，設備齊全，老闆熱情，單次50
Guan Lin,4,不錯的家庭式健身房，老闆人非常熱心，雖然有一點怪裡怪氣的 🤨
陳律錡,5,50元隨你練
Ada Lai,5,設備很齊全，教練很親切（常常主動問我需不需要幫忙，超感人），女生60元不限時真的很佛心，超推薦！
Hsu Han Yun,5,親切又親民的健身好地方！
林書豪,5,鄰近六張犁捷運站，環境乾淨，館長熱心、幽默，極度推薦這一間
蔡金樺,5,60元讓你動到飽哈哈哈，對學生來說簡直佛心！
chang sukiiuan,4,小型但該有的都有
賴玉萍,3,"該有的器材都有，也有SSB 、六角槓。
只是有時候人很多，自由重量區的蹲舉架、槓會不夠。"
謝鎔丞,4,老闆熱情 器材適合剛接觸健身的人
劉小冬,5,很親切 很有人情味 很像一個大家庭的健身房
Charles Yu,3,適合住附近想運動的人，很小不新，但挺便宜
張郁敬,4,場地雖小但器具夠不過尖峰時間人潮眾多
中秋小姐,4,"早上10點開始就是60元用到飽了！
環境不錯，但跑步機只有一台
適合想要好好「重訓」的人"
Rita Chang,5,大家都練得很認真，員工也很親切
謝立萱,5,讚到爆炸
Billy Su,5,練起來了啦！
Wilson,4,價格便宜的計次小型健身房
陳睿宏,5,交通方便 氣氛也很好！
茶夫兔,5,健美强身的訓練中心
Austin Wu (Austin AMG),5,懷舊
帥帥展,4,忠於自我的鍛鍊
Henry Chen,5,超正點的地方
洪維澤,5,一起變強壯吧！！！！
小孟陳,5,器材足夠老闆熱情
汪培聖,5,健身好去處
藍振鳴,5,教練超棒的.....
谷口歩,5,"(由 Google 提供翻譯) 我25年前去過那裡。
業主是台灣著名的建築商。
我非常想念你🎵

(原始評論)
25年前に通ってました。
オーナーは台湾では有名なビルダーでした。
とても懐かしく思います🎵"
Abid Hussain,5,"(由 Google 提供翻譯) 好的教練，設備選擇不錯，員工很友善

(原始評論)
Good trainer great selection of equipment nice staaf"
林函樺,5,"(由 Google 提供翻譯) 俗又大碗

(原始評論)
俗又大碗"
李忠祐,5,"(由 Google 提供翻譯) 大鼻

(原始評論)
大鼻"
Lars Andren,5,"(由 Google 提供翻譯) 我去過台北的一堆體育館和運動中心，這是迄今為止最好的。很多酒吧和舉重運動員，平板凳和鑽機。愛它。

(原始評論)
I've been to a bunch of gyms and sports centers in Taipei, this is by far the best one. Lots of bars and free weights, flat benches and rigs. Love it."
Robin Chiang,4,"(由 Google 提供翻譯) 樓下有良好的自由重量部分，有氧運動機器。好員工。每分鐘1美元！

(原始評論)
Good free weight section downstairs, light on cardio machines. Nice staff. $1 a minute!"
Rob Co,5,"(由 Google 提供翻譯) 很棒的健身房良好的設備，良好的員工，良好的價格

(原始評論)
Great gym. Good equipment, good staff, and good prices"
Farman Ahmad,5,"(由 Google 提供翻譯) 好地方

(原始評論)
Nice place"
C63,3,"(由 Google 提供翻譯) 太小了，像是家庭健身房

(原始評論)
It's too small,like a home gym"
Jerry Chong,4,"(由 Google 提供翻譯) 小型健身房，友好的員工。

(原始評論)
Small gym with friendly staff."
Derek McGuinness,3,"(由 Google 提供翻譯) 便宜

(原始評論)
便宜"
Mu-Chiun Max Chen,4,"(由 Google 提供翻譯) 超超棒的

(原始評論)
超超棒的"
蕭民仕,5,
Hannah Hsieh,3,
連智宏,5,
CK LIN,5,
Tom Liu,5,
Jia,5,
李小倢,5,
Mike,5,
Czardas Wang,3,
呂冠,5,
影印機出租儀美科技,5,
蔡悅文,5,
Kaohung林,5,
蘇姿瑄,5,
Joey Lin,5,
蔡孟學,5,
anks Liu,5,
cecil liang,5,
I-CHENG Lai,5,
羅珮婷（Lovina）,5,
Elsa Lee,4,
王柔諭,5,
Maggie Tung,5,
Ethan Chen,5,
闕居弘,5,
撒景賢（James）,5,
Calvin Chang,3,
Jia-Jhen Jhong,5,
Justin Liu,5,
無敵可愛小松鼠,5,
tang P,5,
Hsin-mien Chen,5,
李政彥,5,
楊牧群,5,
羅于娟,5,
語荷,5,
謝明格,5,
YI-HUNG CHUNG,5,
Steppen,2,
Ritzckrakr Cheesypuff,5,
kuo simon,4,
黃筆強,5,
黃為諺,5,
Kuo-Lun Lo (Loren),3,
許軍德,5,
林秝銳,5,
TH Chan,5,
邱裕峰,4,
Cheng Ho “Henry” Wei,5,
許富強,5,
林俊賢,5,
Eliza Huang (Chu-Yun),5,
金鋼,5,
Jason,4,
黃喻農,5,
Alex Yeh,5,
Sonia Tseng,4,
謝佳文,5,
Lantis Chen,5,
Gino Zhang,5,
Felix,4,
