author_name,rating,text
aaachun,4,我個人很喜歡木須炒麵的口味 95元超大盤！不過麵的口感有點麵粉味 硬硬的 有些人可能不喜歡 韭菜盒子很香 韭菜很夠冬粉沒有很多 也不會太油或太鹹 我最喜歡的是豆沙鍋餅！！！超級好吃 兩個人居然吃完上面那些還吃了一張豆沙鍋餅 雖然有一點點油 但是真的很香很好吃 也不會到膩 之後回訪的話應該是為了豆沙鍋餅去的！
A. Chang,3,"這次點了：豬肉餡餅、鍋貼、清蒸臭豆腐、木須炒餅、酸辣湯。
兩個人食用，相當飽足，價位便宜！
/
木須炒餅的味道不錯，不過餅皮會比較濕潤，下次應該試試木須炒麵會更好吃。
/
豬肉餡餅相當不錯👍
/
清蒸臭豆腐有點便辣，豆腐入味稍有不足，需要搭配醬料湯汁一起服用，會比較有味。
/
鍋貼與酸辣湯略為普通。
/
下次想試看看招牌的酸菜白肉鍋與豆沙鍋餅。"
Zen. H,5,"甜點紅豆砂鍋餅真的超級超級超級好吃，餅皮厚薄適中，紅豆泥不會過乾、還很濕潤，甜味恰到好處不膩，非常好吃。
酸菜白肉鍋很入味、裡面的料都蠻新鮮的，橙汁雞、宮保雞丁也是表現亮眼，橙汁不會勾芡的太過度，整個吃起來很不膩，反而炸豆包包芽菜最還好。牛肉捲餅份量很紮實，餅皮很有嚼勁！"
Ya Yang,5,"補評論!!!每次經過都很多人這次母親節終於來用餐
點了人氣商品豆沙鍋餅~真的很厲害建議第一次用餐的人都要點這道
整體CP值高，價格優惠，會再回訪!!!!

♥母親節用餐時店家很貼心的有準備康乃馨給媽媽♥"
yi teh han,4,"東西算比較重的口味，好吃
翻桌速度快不用等太久
兩個人吃600元吃得很飽
但裡面冷氣超級冷
工作人員之間對話可能因為太忙有點兇"
酥餅,3,"·可以使用信用卡，開立傳統發票。

·六人用餐：小籠湯包、木須炒餅、牛肉炒麵、豆沙鍋餅、魚香烘蛋、菠菜（中）、蒜泥炸豆腐、酸菜蚵仔湯（中）。口味偏重。
·小碗湯2人。中碗4人量
·炒麵皆刀削麵。嚐鮮吃炒餅，吃起來與刀削麵頗像，但更有嚼勁。（個人較喜歡嚼勁適中的刀削麵口感）/附茶正常

· 二樓：180以上的高個兒小心天花板。（4大圓桌、3四人桌）店家告知沒有預約，可能會跟人共桌。

·地板黏鞋、油味偏重，樓梯窄（下樓第二階有一點損壞）"
無段道楓,3,"會在公館的麵食館，
與隔壁的麵食館相比，這間店更需要排隊
另外，這間多隔壁更多麵食的選擇
初訪的感想，基本上就是一間學區的麵食館
服務OK。環境稍弱。價格不貴
不過這間店真的不趕人的。還不錯"
ChiaLynn Wu,4,"1. 酸菜白肉鍋裡面就附火鍋料囉，三個女生吃小鍋的份量很足夠
2. 豆沙鍋餅很北平的口感，外皮的韌性比較夠，不會太甜，但冷掉就會有點普通
3. 宮保雞丁不會辣覺得還好
4. 魚香炸蛋（？）很特別，但醬料可能會有點鹹，但很下飯"
Tina chou,5,"好吃到爆表
從小菜豆芽包到主角酸菜白肉鍋到完美end豆沙鍋餅，每一道菜都令人回味不已⋯⋯"
Joy Tsai,4,"·酸菜白肉鍋(大)：蝦子、蛤蜊、鯛魚、丸子、豬肉、鴨血、菜盤、冬粉，用料豐富

·木須炒麵/炒餅：調味很好夠香，喜歡刀削麵大於炒餅(炒過餅會濕掉個人喜歡脆的口感)

·熱炒：推薦蚵仔酥

當天7人用餐坐在一樓的大圓桌寬敞舒適，服務超好的！時常加湯加茶、上菜速度快、看到我們在自拍還主動幫忙拍照，環境乾淨明亮氣氛好，適合聚餐！"
