author_name,rating,text
小青,5,"蠻有誠意 解除和不良廠商的合作。
湯圓要先退冰再煮才不會裂開餡都跑出來..
至於買來就都裂光的..要退冰自己補麵糊？？？"
吃貨營養師高敏敏,5,喜歡營養卡好水餃！
Tsaii,1,湯圓皮厚餡少！不會再買
章健美,1,星期六買的桂冠流沙湯圓，今早煮時傻眼了，全是破的……沒有一個是完整的，請問流沙如何爆漿，難到包裝時不顧品質那可想而知這等低劣品質如何談到衛生安全，怕怕唷！！
棒婚叫,5,會謹慎挑選合作廠商的優良企業👍
杜杜,1,前幾次在市場買魚餃外皮像塑膠皮，想再去家樂福買看看還是一樣，日期都沒過期，其它燕餃沒這情況仍就好吃，以前印象魚餃沒這麼難吃，類似吃橡皮筋，希望品質加強做出以前的美味。
Chance Leuphold,5,大家都很熱情，願意幫忙。教我們做的菜都很好吃，如果你想學做飯的話，一定要去這裡找最好的老師。
j li,1,芝麻湯圓皮厚餡少，令人失望！
wu hsinying,1,在小七買的桂冠鮮肉湯圓內有個吻仔魚大的異物
Sheldon Chen,5,5號出口根本就是桂冠大樓的專屬!!何其方便~
Joy Wang,5,好吃的沙拉🥗醬
李奕鋐,5,蠻猛的湯圓
陳朝進,3,"(由 Google 提供翻譯) 桂冠沙拉我最♥

(原始評論)
桂冠沙拉我最♥"
林淑珍,4,
陳和岳,5,
Chuang swirl,5,
jines mao,5,
張麗麗,5,
Yu Tien Lin,5,
語荷,5,
高逸帆,5,
崑琪簡,5,
