author_name,rating,text
Giovanna Giorno,5,五隻超親人的貓，沒理由不給五星。
P Y,1,"很奇怪的店，裡面堆滿老闆各種充滿生活感的雜物
不會想再去"
劉明昆,5,"咖哩飯好吃～記得點雞湯真的不錯、算蠻平價的、我覺得很可以。
更重要的是有貓啊～～～～～
好漂亮啊～～～～～～
我是貓奴我要擼貓"
Charlene Lee,1,"店員態度不佳
Wifi超級不穩
店內雜亂不堪
咖啡一喝就不行...
唯一值得讚許的是用調理包做成的商業午餐"
吳青澤,5,"服務生親切
環境風格簡單乾淨
飲料價位不會太高"
Miciou Wen,5,位於溫州街後半部寬闊的轉角，牆面純白色的簡約風格設計的咖啡輕食文創空間，餐點的價格大約在150～200，飲料除了咖啡，還會提供酒類，店內有插頭可以使用。
cosette,4,出餐速度很慢，但餐點不錯，環境也滿安靜的，還有兩隻貓咪！
黎伊晨,3,餐點簡單，味道很像……，個人覺得cp值不高
jimmy jimmy,3,出餐速度有點慢 食物好吃但有點普通 食材較為單一 適合聚餐 環境優美 有美麗的貓
肥魚,4,首推環境，假日真的很慵懶可以坐到膩，但是飲料還是覺得可惜，沒有特別的味道，蛋糕還可以，手工餅乾看個人口味吧！
Amber Lue,4,咖哩飯跟紅酒燉牛肉飯好吃到無話可說 加綠/紅茶套餐cp值頗高 但綠茶稍微澀了些 環境也不錯！
minjung H,3,服務態度一級棒，內部因為擺了些拍賣品有一點點亂
周怡倩,4,之前來吃過一次，男友覺得味道不錯，念念不忘。鮮奶茶好喝，拿鐵普通，可能牛奶量不足，沒有襯出拿鐵的醇厚口感，紅酒燉牛肉，泰式紅咖哩都好吃。
Ellen Y,4,有很多的桌椅，可以挑到自己喜歡的位置，簡餐的價位尚可，可以有一個美好的時光，，有機會來這區還會再光顧
gina re,2,"餐點好吃，但服務生的態度真的讓人不敢恭維
很不情願，好像欠她錢一樣
雖然很喜歡，但這樣的態度可能不會再回訪了"
楊凱旭,1,櫃台2位女服務生態度很差，以為自己來當公主的，估且不論餐點跟飲料如何，進去給人感覺2位女服務生的臉是來要債的不是來服務顧客的。進來不會帶位，ㄧ些基本服務業該有的禮貌都不會，以為自己長的正打扮得漂亮就可以這樣，很失敗的ㄧ間店，我不會建議大家說不要來，但我自己是絕不會再來
陳千會,3,餐點味道還不錯，飲料有點淡。
Jerry Kao,4,簡單的空間，沒有華麗裝潢，餐點和消費都算合理
雞兒,4,寧靜的小咖啡店。商業套餐美味且實惠 值得推薦
林Meeka,4,"有插座、有不穩定的Wifi、可久坐、燈光明亮滿適合用電腦或唸書，客滿的時候會稍微擁擠，但我們來了三次都有位子，在這附近算是滿常有位的咖啡廳

熱拿鐵口味不錯，咖啡有續杯價還不錯，但品質好像不太穩定，時好時壞

飲料口味中下，價格約一百初

偶爾有店貓超小隻，滿可愛，性格也不錯"
Chung-Han Chiang,4,貓貓咖啡廳，不限時，100塊就可以滿足低消
Carol Ho,5,簡單舒適！拿鐵還不錯～
Tim LIU,5,飲品不貴，網路正常，空間大而適當做事。
Eugene Chang,4,"料理還不錯而且便宜, 店貓非常可愛又美麗喔~"
滴桃吃貨,5,普普通通，附近可是咖啡廳一級戰區，這樣會混不下去
施淯筌,3,"OD, 池上米很貴"
蔡怡玟,5,氛圍很好的餐廳，食物也很有特色喔～
kevin lin,4,空間自在，安靜！
ChiHsiang Chiu,2,生巧克力蛋糕真的有點難...然後環境有點亂...
蔣孟涵,3,氣氛不錯 但是網路有顯示 可是很慢或是根本不能用 不適合用電腦的客人
譚小小,1,"強烈不建議想要找個安靜地方工作或讀書的人來這！

咖啡不太好喝、餅乾不太好吃，座位區某個角落堆滿貨物，頗為雜亂，普普通通，原本覺得是3顆星；
後來老闆、老闆娘、員工在店裡暢所欲言，完全不顧整家店有一半的人需要安靜的環境⋯ 2顆星；
最後，老闆娘叫自己小學的女兒在店裡大聲朗讀課文練習⋯⋯

請需要安靜環境的人「避開」這家店⋯"
Konguli,4,老闆比較隨性，家人也在店裡一起吃飯做事。價格算附近較便宜，但食物也沒其他家細膩，點心也未必都有做。廁所美觀衛生算亮點。還有個優點就是通常沒有客滿，找不到位子可以來這試試。
