author_name,rating,text
Dory,5,5/22晚上朋友遭電話詐騙偕同去報案，當時似乎有部分警員有勤務，原本是約隔天早上做筆錄，但當得知是案件是在一小時內發生的時候，就立即協助處理希望能透過165止付金額。非常感謝，也不好意思耽誤到你們的時間！
李忠翰,1,"一群冗員在納涼吹冷氣
請你們協助我去撿手機也不肯
（定位系統已經看到手機掉在旁邊自來水博物館）
這不是最基本的為民服務嗎
遇到這種小事而已
每個人都怕的要死不敢處理
好啦 恭喜你們又平安無事的度過一天了"
林小馬,1,"我在台大讀書，原來台大不是思源街派出所所管的。
提醒台大學弟妹別跑錯了"
Wei-Ting Lin (VVei),1,"形同虛設, 附近違規一堆, 只挑容易開單的處理"
劉育恩,5,領機車鑰匙，員警和藹可親、英俊挺拔，決定五星評價，下次有機會會再來造訪
林亭妤,5,員警熱心幫助尋找失物，讓我在台北感覺到難得的溫暖。
台灣Jk,1,110通報機車上有不明包包不要移動，貴警局接獲通報卻主動致電要我帶回派出所，還好我堅持不碰避免糾紛，等了二十分左右一位騎著電動車看起來很懶得過來的眼鏡男警，不耐煩問我身分證後帶回遺失物，大哥阿！我是遵照你們110指示，不然我也想直接丟在地上阿！
徐子洋,1,"我以為我進到黑道的會館

一進來三個員警瞪著我不講話"
Alan Lin,1,周邊永遠有違停，即使停在派出所對面警察卻假裝沒看到
Ivan Feng,5,今日遺失皮夾，被熱心民眾拾獲並送到派出所。謝謝通知我並耐心協助處理的陳佳翰警員！
Huang MingYu,1,手機不見請求協助，但態度十分冷淡，真的是沒辦法了才會想去麻煩員警，請問是預設人民要騙你們電話費嗎？請問你們的電話費核銷是特別困難特別會被查核嗎？新聞上老是看到員警幫助外國遊客或老人家的新聞，請問除此以外的人民、無法讓你們上新聞的人民都不需要幫助嗎？
周小欣,1,只會抓左轉？雖然我是沒被抓過，看到其他人被抓滿爽的！裡面女警拉麵很好吃！推薦去試試
HS L,1,東西掉了請求幫忙協尋，掉的現場離派出所只有三百公尺距離，因趕上班無法返回尋找，請值班員警幫忙，但員警反應冷淡，處於被動狀態，並沒有幫忙尋找，被動等人送來，感覺很不好，對這個派出所員警感到失望，怎麼感覺跟新聞報的不一樣，外國遊客掉東西就會努力協尋，拍照登媒體，自己台灣人掉東西因為是小事就被動，我知道幫忙協尋這種小事是不會被記嘉獎或小功，所以顯得不積極，最後下班自己去現場找，來不及了，東西被車子壓壞，損失好幾千元，自認倒楣，以後也不用寄望員警能幫忙做甚麼事
地震觀察紀錄 語情,1,處理事情態度態度不佳，一臉不耐煩
Fendi*,1,鄭伃倫員警特別擅長開單啊⋯晚上9點52分黃線上給一張罰單⋯有事嗎吃飽了就溜達出來開單了⋯影響交通了嗎⋯應該是太缺錢了吧所以給張單⋯怪我沒有看見標示牌⋯以為所有黃線8點以後都可以停⋯算囉遇見這種恐龍級別的員警算我倒霉⋯當接濟你這個很有事的警察囉～！
