author_name,rating,text
Often,3,"咖哩味道還不錯吃
但有點出乎預期的是豬肉...
不是肉塊是碎肉，
這樣就有點像肉燥加咖哩
追求肉嚼勁口感的人可能會有點失望
餐點有附一杯飲料
點餐時可要求免費加一次飯
但起司另外單點一片要 $15 稍貴了些"
張淑英,4,"用餐時間路過，咖喱控的我，就進去吃。
咖喱味道、醬汁稠度，OKAY
我點咖喱豬肉，雖說是肉燥，但好入口。
會想再來試其它的主餐的餐點~"
Wen Liu,5,每年早春三月天必定到台大賞杜娟，昨日下午趁著好天氣走逛了一圈，花開燦爛(爆棚)!之後照例走到此店吃晚餐，鷄肉咖哩十蔬菜•牛肉咖哩十蔬菜均為130元。漂亮的盛盤顯得秀色可餐，一口吃進咖哩香味滿懷，肉類軟嫩，青菜香甜，好滿足的感覺。雖稍有辣味，配喝一口紅茶，頓覺舒暢，謝謝店家!多年來維持不變的口味，使我飽足身心健康。
Jasmine Hsieh,3,"吃了好多年了
從大學時代
今天看店內人居然不多
吃完後果然.....退步很多
連豬排都不好吃了"
SHANYU,3,豬肉咖哩味道算不錯，份量一般，豬肉是碎肉，沒什麼青菜，有附飲料。
Allen Lin,4,平價好吃，二樓地板不平衡，坐久了半規管不太舒服。
Sean Wu,2,"吃了10多年，只能剩下感傷。
品質越來越低落，以前非常喜歡這家的咖哩，味道濃郁好吃，但這一兩年每次吃都明顯吃出退步，配菜越來越偷工減料就算了，咖哩也越來越稀，以往厚重的香濃幾乎留在回憶…"
chris lei,3,午餐点一道蔬菜魚飯130元很便宜
HOBBIT LUNG,5,從小吃到大的咖喱，老闆熱情咖喱濃郁！
吳玉瑩,5,餐點好吃，價格公道。
YCERIC,2,炸魚有很重的腥味 咖哩口味還可以  雞肉才四塊 附上的紅茶喝起來已經沒有茶味很像糖水 應該是水混得太多 比較嚴重的是用餐環境真的需要加強 不是很推薦
林思涵,3,餐廳過度安靜、感覺衛生沒有很好，氛圍不太佳，餐點還可以
Wang J.S.,3,咖喱口味濃厚，送餐速度快。店內位子不多，空間偏小，樓梯設計有點陡，要自己小心😂
Mark Liao,3,味道不復當年（2018）
獅子,2,"好吃度：3顆星
價錢：4顆星
衛生度：1顆星
服務度：4顆星

說真的食物不難吃，我點豬排咖哩，附一杯紅茶。
價格120元，白飯多到吃不完。
他的咖哩味偏一點點小微辣。

但今天的咖哩溫度不夠熱...
所以吃起來口感沒有上次外帶的好吃。

會給2顆星主要是餐具🍴的衛生度，湯匙🥄有污點（咖哩渣），附餐飲料杯子感覺濕的（外杯有水、杯口濕濕），整體感覺不舒服。

吃完飯離開...看見杯子水沖...沒刷...然後就疊在一起！我想就是我們桌上那杯了😭😭😭

衛生環境沒改...應該不會再來了，有點可怕😱"
Ying Ting Huang,5,還不錯吃啦～平價且能吃很飽，雖然豬肉咖哩是碎絞肉的形式，但配上稍甜的咖哩醬還行。碗中附有一朵花椰菜⋯希望可以再多一點哈哈。豬排部份也可圈可點，整體來說尚可囉！可內用也可以外帶，內用附有紅茶一杯～
Jason Wu,4,"好吃，咖哩濃。豬排酥脆。
讚!"
EVE LEE,1,"詢問素食能不能吃
回答可以喔
結果有洋蔥"
Lin tzu yang,2,點的是豬排咖哩，先說總結：餐點味道中下，但用餐環境髒亂。咖哩口味偏日式，味道與sukiya的咖哩差不多，咖哩中約四塊紅蘿波與一塊花椰菜，白飯口感算不錯，豬排瀝油沒乾淨，炸的不夠酥脆，肉質不優，且有些許油耗味，不推！
宗宗菌,5,好吃，不貴，朋友推薦的果然很棒
meng han Li,5,真的很好吃的日式咖哩飯，甜中帶小辣，還可以行動支付，真的很方便！
邱小倫,4,"招牌是好吃的豬排咖哩，cp值高。
店內有些擁擠，二樓有座位但樓梯很陡
雖然漲價幾次依舊好吃
附近最美味的平價咖哩店"
013,3,"CP值✅✅✅
味道✅✅✅
蔬菜+牛肉咖喱130$
咖喱一入口偏甜，後味小辣，料不算多，尤其是寫加蔬菜卻就多幾顆花椰菜讓我有點😂牛肉也柴、沒有到很好咬，這是第二次吃了，第一次吃豬肉咖喱，結果是碎絞肉，還要110...兩次都沒有很推。
整體上來說，環境沒有到很好，餐點味道也沒到很好，份量也沒到很好，價格也沒到很好😂

結論：不推"
k65379,5,味道還不錯，如果店面可以整理的更乾淨，因該評價會更好
Wei Wen Lai,4,咖哩口感濃厚，口味甜中帶微微刺激感，牛肉墩煮爛，炸魚油味燒重
Rong-Guang Wu,3,口味微辛，不算太貴，但豬肉咖哩裡面是肉末不是肉塊，覺得下次應該點豬排咖哩。
您,5,從學生時代吃到現在 味道一樣好
Chih-Hsin Cheng,4,老牌店家，味道有其獨特之處
豪Art hao,4,美味，平價。環境衛生需加強！
戴琦,4,便宜好吃的咖哩，最喜歡牛肉的，想不到吃什麼的時候就會來
Allen Chin,5,平價咖哩，好吃，CP值高
Ming Lu,2,"以前是五星，現在不行
咖喱太甜又沒太多咖哩味"
Ciaomei,2,"從剛上大學到現在快10年了，貴店的食物及環境品質就像是我的青春回憶一般，隨著季節更迭，不斷消逝褪色。人無千日好，花無百日紅。世道艱難，我亦不強求，只是緬懷著曾經美好默默遺憾，如今的靚咖哩也迷失在大環境之中了吧。多給一顆星，是敬我的回憶。
（照片未加入完整咖哩醬，僅供參考）"
林宜霖,5,平價又好吃的咖哩 口味微辣 學生加飯免費
KIHo (Kouitsuhou),3,咖哩依舊，但提供的飲料品質不穩定
YU-JIE LIN,5,多年前吃過一次，記憶中的好味道，這次再去用餐，卻覺得少了點什麼的感覺
Jo Chang,5,\(-ㅂ-)/ ♥ ♥ ♥多年愛店，平價好吃
陳近南,4,咖哩非常濃郁可口...微辣卻又帶有一絲甜味...十分促進食慾...每份約110、120元...價格合理公道...CP值不錯...上餐速度也快...但是店內空間不大...樓梯更是狹小...上2樓須小心注意...
knifeyui,3,高中時常常叫這家的外送，不過也沒特別便宜也不好吃，而且內用座位超擠哈哈，但應該算是台大人118巷共同回憶
Chih-Yu Tung (阿童伯),4,味道不錯，但以118巷的定位，飯要多一點
林承恩,1,"雷
花椰菜一朵，紅蘿蔔一塊，馬鈴薯一塊
不是肉塊或肉片，而是肉屑"
Bear Chang,2,"價錢變貴可以理解
但服務變差了
份量變小了
味道雖然一樣，但是已經讓人失望透了

再見了大學的回憶QQ"
王大中,4,好吃喔！！稍扣一星是因：1.份量較少，食量大者可能吃不飽；2.價格稍貴
貓小小,3,味道普通，量偏少，價格偏高，店內光線偏暗、空間稍稍壅擠，附近的咖哩戰線、找碗較推
0207user,1,"環境十分骯髒，桌椅黑髒，送來的咖哩盤有水漬，店員B感冒一直在咳嗽，A店員叫他戴口罩他不聽，還繼續邊咳嗽，邊整理湯匙與叉子，手也沒洗過，也不戴口罩，餐具放在開放式環境，維生讓人非常有疑慮，而且後來送餐的還是店員B，手碰到餐點的碗緣，看了就完全沒胃口。
再加上外頭另一個員工在抽菸，室內都是煙味，衛生方面非常糟糕的一家店，吃了幾口就受不了走人了，待著就感覺很噁心。"
林志儒,2,東西變難吃，原本的肉塊，現在居然變成肉末
KALU,4,每次到附近出差都會繞過來吃 醬的味道很好 微辣偏甜 肉相對起來就比較普通一些 老闆娘跟員工的互動像是朋友關係 有時比較喧鬧 很在意服務品質的自行斟酌
蘇勁宇,5,從大一吃到碩二 沒吃過CP更高的咖喱了～ 好吃
Henry Chang,3,價格偏高，麥茶續杯也要錢，咖哩味道偏甜
michael chen,3,有點可樂餅結果店家忘記做 送來時裡面還是冰的請店員拿回去重新炸 有換一份新的給我們
purinpurin moon,4,"1、地址在大安區和平東路二段118巷2號，捷運科技大樓站附近，用餐時間營業，星期日公休，星期六只營業到中午。
2、其他老師大力推薦，去了好幾次都撲空，最近終於成功吃到。
3、價格在110元到120元左右；咖哩醬偏稀，但整體吃起來很不錯，CP值算高；可能因為在台大附近，飯量給得頗多。

菜單：豬肉咖哩、蔬菜咖哩、雞肉咖哩、牛肉咖哩、黃金豬排咖哩、咖哩雙拼、蔬菜雙拼。"
Johannan Fox,2,老實說只值一顆星，是因為多年的回憶才多給一顆，這些年來雖然黃金豬排咖哩從90漲價到110，但一直都有維持他一貫的品質，所以一直都有繼續去吃，但這次再去，不只漲到120，整個份量還少了三分之一，而且老闆似乎也不在乎生意了，只顧著和店裡的小鮮肉聊天，放著客人桌上有空盤也不整理，配餐的飲料也是我們去提醒才送上和擦桌子，真的不是失望可以形容，難怪現在到了用餐時間都還是空空的
陳冠良,2,"學生才會去吃
就是平價不難吃的意思啦
這家店的亮點最大的亮點一定是店員的服務啦 沒有之一"
Charlie Duke,3,咖哩味道不錯，還附贈一杯飲料
John Chih-Chung Lin,1,餐點相當普通，而且盤子看起來還有一堆水滴跟漬，根本剛洗好擦都沒擦就直接裝飯上桌，且店內環境髒亂不衛生，店員算錢端菜打掃跟在外面抽菸都同隻手，頗噁。吃過幾次都拉肚子，滿糟的～
吳秉富,4,米飯偏硬，豬肉咖哩是豬絞肉，不是很優。
Chang Johnny,5,平價美味，料好實在!
高美,5,咖哩飯好吃！我都吃🐷排咖哩，現炸
Bi De,4,老闆娘兒子會跟著音樂在店裡大聲陶醉的高歌
Celina Liu,5,"從高中吃到工作
十年如一日的好吃😋
是會甜會辣的甜辣口味
最喜歡的是豬肉
用絞肉肉質也不會太老
牛肉和雞肉都曾吃過老或柴的
老人牙口咬不動😂"
Wei-Ting Chen,1,店員臭臉講電話看到我跟看到空氣一樣，呆站30秒決定離開。很抱歉無福享受你們的美味。
Yahuan Cheng,4,是好吃的，但比起其他家口味差不多的咖喱，價格稍微高了些
Sherry Hsieh,3,這間以前也常跟朋友聚餐時來吃，雖然店內真的很小，二樓樓梯超陡，不過綜整來說還算一家吃粗飽的咖哩店，學區這樣的價錢還算ok，一飯一杯飲料，夠消磨午餐時光了。
林裕隆,3,沒有以前的好吃了、要加油。買了兩次都一樣。普通
瓊頤黃,5,學生必去的咖哩店，必點的是那雙拼組合餐，只能現場才吃的到喔～
Joe Chien,5,很甜，不用花大錢又能爽快大吃的好去處
fisherwoman,2,"咖哩好吃，但我點雞肉咖哩幾乎看不到雞肉，朋友點黃金豬排就超大分，差太多了吧...兩個只差10元耶...
米有一部份很硬!!!"
楊景哲,1,以學生美食的價位和內容物，真是不大推薦~不會考慮再來用餐。
Kuangwei Yen,2,飯完全不行，咖哩偏死鹹不香，不過豬排咖哩似乎是相對較好的選擇
王嘉麟,3,空間比較狹窄，一樓約12個位置，飯量稍微不足，咖哩醬還不錯。
Prodigy Keng,1,"微波食品的感覺，完全不到那個價錢的價值
賣50元都不願買
服務又差"
Leo Chen,4,其實有點偏貴cp值不太高，加的飯偏少，咖哩雖沒特色，但不差
Jimmy Li,4,學生時代的回憶，後門心中排行第一的咖哩。偏日式口味，甜甜的。推薦豬肉咖哩、豬排咖哩
Ryan Tsai,2,又貴又難吃，沒什麼料
宗佑林,4,"咖哩味道偏甜微辛，但做的很好吃，甩附近的""咖哩廚房""和""日式咖哩 最好!""好幾條街，果然118巷認真找還是可以找到不錯的餐廳。
不過餐廳空間狹小，而且主菜較""找碗""沒誠意，主要是吃咖哩醬和飯XD"
周紘宇,1,20180102中午去吃，飯沒有熟，米心還是硬的，雖然我知道應該是趕著出菜，大概不是常態，但還是得寫一下
Lee Kevin,2,咖哩飯粒濕濕黏黏...店內用餐環境並沒有很整齊乾淨...以這樣的整體條件，價位過於偏高......。
連其昌,4,好滋味之外，年輕的服務員態度親切，尤其是我目睹他們對待老人家的耐心、愛心。
Ping太高,1,服務態度很差，老闆收完錢不把客戶當成一回事，旁邊小弟流氓樣，跩問他菜單愛理不理，一看可能是他兒子吧，咖哩口味都差不多，以後不去了
江彥鋌,3,米很難吃哦！小孩說
andre lee,4,好吃有層次的咖哩，料有點隨著物價上漲變少了，店內的樓梯有點抖要小心，學生可以免費加飯，價格在新台幣 110 元到 150 元中間。
康寶濃湯,4,豬排咖啦好吃
Cheng-Ming Chao (Kein),4,蠻容易忽略的店面，但吃過之後很推薦。咖哩香濃，牛肉嫩而不老。
Jerry Su,4,"店內空間較為擁擠
日式咖哩帶點辣味，炸豬排屬於台式炸豬排，上面附上一個花椰菜，可加一小球的飯，隨餐附贈小杯紅茶，偏向吃飽，美味價錢尚可"
Jinglr Liao,4,味道不錯，適合喜歡重口味的人，喜歡清淡的人就要考慮一下
George Liu,4,環境小，位子不多，但咖哩好吃。
Ray Lin,3,平價咖哩口味尚可，一份餐約120左右，加一片起司+15元
brad hsu,1,"雞肉咖哩是地雷！肉沒幾塊，乾澀難嚥，花椰菜一粒，咖哩就像料理包倒出來一樣味道。豬排倒是不錯，加了一顆星。
環境不佳，服務普通，餐具廉價，附餐飲料隨便，算是廉價食堂等級。但價位訂在100-150等級。在整條街都是餐廳情況下，不優先考慮！"
Wu碳,4,豬排咖哩飯110，附一杯紅茶。採用house咖哩，飯剔透煮的不錯，醬濃微辣。豬排不會太薄，整體還不錯。7分+1便宜。
K K,2,"咖哩味道不錯，但價格偏高且餐點越來越縮水。
店內空間小，樓梯超級陡，感覺像是在建築間的防火巷加蓋。"
GRETA,1,沒什麼配菜  都只是醬而已 CP值不高
Alex Chung,1,咖哩口味普普通通，用餐環境感覺髒髒的，最重要的是服務態度非常差，老闆不知在跩什麼，對顧客反應愛理不理的，底下的小弟們有樣學樣，食物還沒吃完就急著趕人走，受一肚子氣，以後絕對不會再來。
Meng-Hsin Chen,5,好吃，學生時代就很愛吃，只是二樓一直給人一種隨時要垮下來的感覺
Teng-I Wang,4,咖哩好吃，微辣，是我的菜。台大周邊平價咖哩最佳選擇之一。想省錢的話，推薦點純咖哩醬配白飯。
Wayne,5,很好吃的咖哩 味道很特別
Kyle Chen,4,各種肉搭配不同類型的咖哩，再搭配一些蔬菜，咖哩淋上去！推薦！
Hui Hsin,2,平凡無奇的咖哩，這個價格可以有更好的選擇
溫小瑋,4,CP值普通的咖哩店，不用花大錢可以吃到連鎖級的咖哩
張小玲,4,咖哩好吃，可惜離家太遠
en-lung liu (健身吃貨),1,店員在店內抽菸、餐點端上來是冷的、
DAVID WANG,4,店面小，用餐環境壅擠，咖哩好吃很推薦。
黃常榮,4,"便宜，味道不錯的咖哩飯
解決一餐的好所在"
Mindy,4,咖哩口味類似佛蒙特，偏甜的日式咖哩，好吃也吃的飽
Accord Huang,1,地雷.....加一片起士片要加15元?!搶錢啊..!!!!!
器材旅人毛巾 Mouching,5,大學時期令我回味無窮的咖哩，豬排咖哩加起司很讚!!
Kema Chang,3,還好 有點小 第一次就上錯餐 沒有驚艷
Alyssa Lee,2,Sherry 說不喜歡咖哩裡面的碎肉
shiba eat u,3,還好的點 吃起來一般量沒很多 價位還能接受
Social Room,5,店面很小搞到中午都不想去擠是唯一缺點，其他口味跟服務都不錯
Vicky Tu,5,咖喱濃郁
鄭宇崴,1,量少味道普通又貴 環境非常擁擠
Chloe Lin,5,"老闆人好！
咖哩好吃！"
luiespu,4,東西滿好吃的，不過二樓的地板感覺不太牢固
YuTing,3,第一次覺得好吃，但吃到後面有點小膩…
Hsueh-Hao Chang,5,好吃又平價，從學生時代開始吃！
Jerry Sye,3,118巷老牌賣咖哩的店，但是換好幾手了。。。。
Leo Tsai,2,誤踩地雷了，服務生沒救了。
楊茂榮,3,豬排咖哩吃吃味道，其他不用太強求
JR Liu,4,好吃但CP值稍低，豬肉咖哩只有絞肉
Po-Yuan Teng,3,窄窄，咖哩不錯吃，可以免費加一球白飯
Craig Chang,4,以上班族角度來看，便宜又好吃。
Oliver Kim,5,很好吃價格不錯但是吃完就去廁所大便，不可忍耐去廁所。
Yi Chung,3,吃過不賴…但個人認為外帶吃更愜意！
Chuping Lee,1,不好吃，都會辣的，又不是印度咖哩。
Eco Chen,3,很單純的咖哩，不特別好吃也沒什麼特色。
fidel,3,下班後吃完再回家
Trevor Wang,5,這附近的咖哩店比較起來，我覺得最好吃的店。首推黃金豬排咖哩。
Benjamin Wang,5,咖哩偏甜，份量較少，不過還不錯吃
Lu LU,1,覺得老闆的態度不適合我
Chien Wang,4,咖哩蠻好吃的 除了豬排咖哩以外 肉有點少 店內有點擠
hsiao-ting Tseng,4,太辣了嗚嗚嗚嗚
劉姿瑩,5,好吃的咖哩
befe le,3,歡迎挑戰上二樓的超陡樓梯。
振寧洪,5,喜歡牛肉拼蔬菜咖哩
Michael,5,每週都來吃，好吃!!CP值很高!!
吳柏佑,5,不是最好吃的咖哩，但cp值很高
汪冠洲,4,挺好吃的平價咖哩飯
余宗翰,4,咖哩好吃 雞肉有點乾 飲料很普通 但是咖哩真的好吃
KC Lee,4,不錯啦，學生吃飯好地方
Liang-Kai Chu,3,100多的咖哩 評價參差 店內空間小
Shark Shark,4,Cp值算不錯 雖然肉偏少
XiuPing Lin,4,咖哩好吃 適合喜歡不太會辣的人
Jerry Chou,4,方便好吃，適合學生。
Jimmy Chung,3,咖哩醬汁不錯，服務態度不佳
林雨中,1,服務態度不佳，份量少
Hsuan-Yu Wu,5,118巷唯一好吃的東西，但位置很小
王秉倫,4,飯量很少，但不錯吃
LU LU,3,"豬排好吃
飯量很夠
二樓傾斜很危險"
Yu Hung Wei,4,好吃，可是豬肉不推薦
Hsiao-Ting Wang,4,日式咖哩，甜，很好吃
賴竹村,3,小貴
D.Y Chen,5,比回憶還濃的咖哩，心目中第一名的咖哩
Sasa Chen,4,不錯吃
Chung-Han Chiang,5,獨特風味的咖哩
Yu-Keng Lin,3,咖哩偏甜 還ok
Jason Wang,1,難吃
chen yufen,4,豬排咖哩好吃
徐景景錚,4,學生的最愛
ChingMing Lin,3,咖哩還ok，不過態度差了一點
黃蓉,4,物美價廉   豬排好吃
廖士齊,4,好吃的咖哩~
YuTing Wibke,5,蔬菜咖哩好吃
gary Li,3,咖哩不錯。
張佳豪,4,餐點還不錯
張瑋哲,5,超好吃平價咖哩豬排
吳栩臺,3,沒以前好吃了
Andy Wen,5,一直從念書吃到工作的美味
Shu-Chang Li,5,餐點很好吃
Faith Wang,3,口味ok的學生餐廳
莊博全,3,店面狹小但是咖哩好吃
楊柏峰,4,好吃的咖哩飯！
郭沐鑫,1,味道一般，份量少又貴
jen chang,3,還不錯吃
Chung Ping Lee,5,平價日式甜咖哩
Wei Hsu,4,學生加飯免費
Died Liu,3,適合學生的價位跟口味
蔡易達,1,不燙
Henry Hsu,4,不錯
Hector Wu,1,一點都不咖哩，真不好吃。
Jessi Cheng,2,很一般的學生口味
周家鋒,3,"平價咖哩飯
味道普普通通"
Yu-Zheng Lin,4,118巷內好吃的咖哩
何建翰,4,咖哩好吃~ 但是一樓座位太擠
Boris Chen,4,118唯一好吃的咖哩專賣店
DeathMan Huang,4,CP值不錯
Meng Lin Hsu,5,平價又好吃美味的咖哩
黃禹程,4,不錯吃
王旺旺,3,不錯吃
Kaoru Lee,3,偏甜一點 價格普通
Leona Kao,4,咖哩好吃
Yimin Chen,3,咖哩偏甜還不錯吃
Alan Sha (Alan),3,飲料超甜
Weaver,4,咖哩會有點小辣唷
石崴,4,咖哩好吃
Isken Huang,5,好吃的咖哩
Leon Tu,4,"阿強朋友

#LABA 0913y12"
Hsiang Chun Chen,3,"(由 Google 提供翻譯) 咖哩醬濃鬱，口味辣且偏鹹，豬肉咖哩不是肉塊，而是絞肉，豬排沾粉有點厚，學生可免費加飯，套餐飲料是極普通微甜紅茶，CP值不算高

(原始評論)
咖哩醬濃郁，口味辣且偏鹹，豬肉咖哩不是肉塊，而是絞肉，豬排沾粉有點厚，學生可免費加飯，套餐飲料是極普通微甜紅茶，CP值不算高"
Zhaung Sont,4,"(由 Google 提供翻譯) 菜餚價格便宜，足夠大，而且味道還不錯。總體來說是學生的好地方。但是這個地方不是很大，所以您可能每次都找不到桌子。

(原始評論)
Dishes are inexpensive, large enough, and taste actually good. Overall a great place for students. However the place is not so big so you may not find a table every time."
Allen Lee,4,"(由 Google 提供翻譯) 口味濃鬱，但份量稍少

(原始評論)
口味濃郁，但份量稍少"
Aki K,5,"(由 Google 提供翻譯) 我最喜歡的台灣咖哩
我想日本人會喜歡這種咖哩

(原始評論)
My favorite curry in Taiwan
I think Japanese would love this curry"
Marc Tsai,5,"(由 Google 提供翻譯) 從學生時期就一直愛吃的咖哩飯，甜中帶辣，一輩子都無法忘卻的好味道！

(原始評論)
從學生時期就一直愛吃的咖喱飯，甜中帶辣，一輩子都無法忘卻的好味道！"
Home Owner,5,"(由 Google 提供翻譯) 咖哩雞飯板新台幣130元。快速的服務。休閒餐飲。非常適合快速美味的餐點。

(原始評論)
NT$130 for curry chicken rice plate. Quick service. Casual dining. Great for a quick and tasty meal."
Hsuan Lee,4,"(由 Google 提供翻譯) 很有價值和品味，午餐時間太擁擠了

(原始評論)
Great value and taste, too crowded at lunch time"
Hungjui Yu,4,"(由 Google 提供翻譯) 很好吃、很適合學生的咖哩飯餐廳，推薦豬排咖哩。不過店內衛生感覺需要加強。

(原始評論)
很好吃、很適合學生的咖哩飯餐廳，推薦豬排咖喱。不過店內衛生感覺需要加強。"
Alex Lin,4,"(由 Google 提供翻譯) CP值高！好吃

(原始評論)
CP值高！好吃"
林蒼微,4,"(由 Google 提供翻譯) 美味的食物，學生價格優惠

(原始評論)
delicious food with good price for students"
林一一,5,"(由 Google 提供翻譯) 牛肉咖哩好吃

(原始評論)
牛肉咖哩好吃"
Matthew Kerr,5,"(由 Google 提供翻譯) 好咖哩，價格實惠。沒什麼好抱怨的。

(原始評論)
Good curry for a great price. No complaints."
朱大銘,4,"(由 Google 提供翻譯) 好吃又便宜，大推！

(原始評論)
好吃又便宜，大推！"
黃亦萱,5,"(由 Google 提供翻譯) 咖哩濃鬱微辣 主餐好吃 有附紅茶

(原始評論)
咖哩濃郁微辣 主餐好吃 有附紅茶"
LAMAMAO Josie,1,"(由 Google 提供翻譯) 太鹹，小部分和價格過高。

(原始評論)
Too salty, small portion and overpriced."
Hank Maguire,4,"(由 Google 提供翻譯) 實惠的咖哩飯。但是它很小而且很擁擠。

(原始評論)
Affordable curry meals.  But it's small and crowded."
簡宇瞧,3,"(由 Google 提供翻譯) 口味偏甜

(原始評論)
口味偏甜"
王漢樵,4,"(由 Google 提供翻譯) :-D

(原始評論)
:-D"
