author_name,rating,text
羊加魚,3,"郭醫師跟潘醫師都會給予情感上的支持，一進到診間一定會先溫暖的問候說最近還好嗎？
會說出妳真的辛苦以及建議一些能嘗試的方法去改善目前的狀況，郭醫師給五顆星都不夠，可惜要到7月份才會回來了。

剛因昨晚病發就緊急就醫看了孔醫師的診，真的是我人生首次看完身心科這麼憤怒這麼不愉快很想砸東西的爛經驗。講述的過程一直被打斷、沒有溫度的對談、三番兩次提醒我後面還有很多病人沒有辦法這樣細細聽我講，我明白你醫生的立場，可是可不可以不要忘記你自己是身心科醫師，沒辦法用婉轉一點的方式跟病人表達嗎？

櫃台跟藥師都很溫柔，但個人覺得孔醫師沒資格作為一身心科的院長。"
Jin Liang,5,曾柏硯醫師很有耐心很溫柔，看診的感受很好，診所的佈置氣氛很溫馨。
yu chu chiu,1,請慎選醫師，如果只是要來聽孔醫師說:「你就是不夠知足常樂、有些人比你過的還差」，那去看鄉民講幹話就好了。
陳蘿菈,5,"醫生人很好，會很關心瞭解病人情緒上很不開心的原因，能隨時幫助控制我的心情來做好調整👍👍👍
只是可惜星期六沒開，我都在平日上班拿藥有些不方便，有時可能要跑去別間拿藥頂替"
凱凱,1,曾醫生直接公開病患隱私還有資格當醫生嗎？我去拿藥跟我媽說我在裝病？趕快倒一倒吧
Calvin Lu,5,"郭醫生用藥精準，也仔細聆聽病人敘述，並提供建議。
看過第一次後，失眠、焦慮和胡思亂想等問題就解決，生活恢復正常。
非常感謝～"
CLARK Lee,2,兩星是看在曾醫生的面子上，找他就好，但有位醫生對病人一點同理心都沒有，連開藥都一直找理由不給開，我自己說Why bull shxt happened to me他還凶我態度改正，身心科欸!對病人有點同理心好嗎？自己先去看身心科好嗎？而且之前雖然說週四拿藥但當天就是有事趕不上很多人都有這種經驗吧，那一副倚老賣老我不在乎的態度讓人很不滿，不推薦曾醫生之外的醫生
徐芯妃,5,跟著曾醫生好多年了 目前也知道他因為上的太累了 至上對曾醫生最深的祝福 謝謝曾醫生都對患者非常的關懷 希望可以一直追隨曾醫師
Gnathosaurus Pterodactylus,2,"給曾醫師五顆星，加上其他醫師平均後，接近一顆星。
請慎選該診所醫師。
以避免陪病患就診的家屬，以後也要就醫。"
saka do-do,5,可以直接拿藥很方便！只有初診或需要換藥或太久沒看才需要排隊看醫生，這樣對定期拿藥的患者是很好的制度，希望其他感受不好的朋友們能體諒，而且進去拿一下其實不到30秒，不耽誤什麼時間！醫生人也非常好！ 如果去其他診所一定要排隊看，你只是會等更多人等更久而已。
Wen-Chieh CHEN,4,"曾醫生人很好很專業也很有耐心，非常推薦。
但某次周五去看到王恩南醫生，極度沒耐性，沒講兩句就想把病患趕走，也不情願回答問題，一直叫病患回去找曾醫生討論，那王醫生你存在這間診所的價值是甚麼？"
roshi He,5,支持的氛圍
吳修印,2,不知怎排號碼的，拿藥很快來很快走，給醫生看等老半天，怎不是先來先看
Stalon Zen,5,曾醫師非常暖且專業 非常關心病人也記得病人的所以細節
小宏蔡,5,看了很多家。吃了沒有用。來這理吃了很有效果。本身有自律神經失調。他們服務不錯。親切。用心。專業。
Lucienne Hu,4,環境好，醫生很耐心與我講解藥物狀況。只是要等很久才能看到診
吳書君,1,藥師不告知怎麼用藥竟然跟病患說就跟上次一樣 上次已經一年前了誰知道是哪樣
Luoling Tsao,5,醫師很有耐心，藥師人也超好👍😊
CHUNG SAM,1,"藥劑師的臉超臭然後態度超差超懶惰,麻煩請該診所快點開除該藥劑師"
陳麗鈴,5,醫生很有耐心，願意傾聽
張紓菲,2,適合只要拿藥病人
晚媚,1,藥師的態度極差！
Anjie Ai,5,
捏口,4,
Lin Darktemper,1,
王麗香,4,
sara mia,2,
shun lin,5,
蔡麗淑,5,
xzxxxzz xzxxxzz,1,
廖娃娃,5,
s,1,
Cynical Ice Cream,5,
劉唯,5,
Elisabeth Chiang,5,
王文珠,4,
