author_name,rating,text
mi mi,4,"布朗尼(約43g)💰25❤️❤️❤️🤍🤍
有點油耗味耶🥺口感偏鬆軟不是脆的那種，不時吃的到夾在其中甜度較高的巧克力，不過不是包入巧克力豆的那種口感唷！
覺得不太像平常吃的布朗尼，屬於較一般的巧克力厚餅乾，這款比較失望，甜度稍高，但因為是布朗尼本來預設就會甜一些，還在可以接受範圍，味道不是太對胃但也不至於到不好吃，厚度夠也是小優點啦🤣

燕麥蔓越莓💰25❤️❤️❤️❤️🤍 …"
Sandy Kao,4,"巨便宜的餅乾
一片25 五片100
不要有太多期待就是cp值很高的餅乾🤭"
靖christine kitty,3,鬆軟的手工餅乾 口味很多有些應該很特別還不錯吃 個人覺得偏甜
陳筠,5,餅乾好吃，除了玫瑰口味吃起來很奇怪，其他口味都不錯。
Roger Tsai,4,這一帶最佳手工餅乾。買回家裝在罐子裡當下午茶的好點心。
Kt H,5,Yummy!! Soft cookie and not crazy sweet!少見的軟餅乾！但沒有像subway的那麼甜
DAN J,5,偏軟偏甜，覺得椰子核桃，布朗尼好吃，核桃好好吃啊，希望可以多做一點上面有核桃的！會三不五時嘴饞就去買片吃。
Joe Hsieh,4,好吃，但蠻甜的。買回家當下午茶點不錯。
Alan Chen,3,買了薑餅乾，薑味不夠，但不難吃
Liao Wilfredo,4,我覺得蠻好吃的！如果有茶配更好！
N K,1,"口感偏軟 不是酥脆的那種
布朗尼還不錯 其他就普普了"
Lin aki Paregi,3,餅乾超甜，外國人的口味
林欣穎,5,CP質高
Hui-Ju Hsu (徐卉汝),4,好吃價錢小貴但可接受
Xin,4,咪莉奶奶手工餅乾
Sandra Häbel,5,"(由 Google 提供翻譯) 這裡的餅乾很美味！

(原始評論)
Cookies here are DELICIOUS!!"
灰灰,5,"(由 Google 提供翻譯) 玫瑰口味超好吃

(原始評論)
玫瑰口味超好吃"
myrtel2121,1,"(由 Google 提供翻譯) 吃Subway的就好了😑

(原始評論)
吃Subway的就好了😑"
Kevin Karch,4,"(由 Google 提供翻譯) 餅乾

(原始評論)
Cookies"
Hsu-Feng Lai,4,
dahye choi,5,
sam sant,4,
劉米炘,5,
Lala Lala,5,
Senan K,4,
楊舒涵,5,
Julia Brody,5,
Sophia Huang,3,
黃郁涵,5,
李昕穎,5,
Aiya,2,
