author_name,rating,text
陳怡伶,3,大廳休息室太小，走道也小，不適合多人
早安您好,5,服務親切，讚
阿傑被車玩,4,內置良好，停車要去全聯停
Li Ivy,3,本體建築 還不錯，但上山路只能單向，遇好日子會大塞車
閻麗蓉,3,空間小，不適合家屬好友前往上香，臨時安放靈位還可以~
詹家全,4,乾淨，交通還算方便
蔣憲奭,3,服務態度良好，停車不易。
巫建霖,3,安靜，祥和，身後事的處理方便
陳俞佐,4,很安靜...
Evonne,3,環境整潔
小蘋果,4,服務親切
SMS,2,葬儀社
Michael Yang,4,靈堂設置處所
彭中興,5,"(由 Google 提供翻譯) 送往者心安，生者平安吉祥

(原始評論)
送往者心安，生者平安吉祥"
A PO,4,"(由 Google 提供翻譯) 好的

(原始評論)
Good"
Ryou Kelly,1,"(由 Google 提供翻譯) 不便宜

(原始評論)
不便宜"
阿杜阿杜,5,
鄭羽婕,4,
何文凱,1,
吳健豪,1,
Kao Willy,4,
Wesley Chen,5,
kevin chen,5,
Lee Yang,5,
陳志豪,5,
蔡博文,4,
楊授宇,4,
Pauline Sun,5,
善滿緣生命,1,
Ho peijeh,4,
瑞騰王,5,
SAGA REI,3,
張安麒,5,
孫佩琳淋,5,
Shaowen,3,
陳國偉,4,
Martin Li,4,
陳鴻達,3,
MAMI LIN,4,
黃幹,3,
Yongsen Liu,4,
黃俊彬,3,
侯萬居,2,
煙常,3,
Ryan Yang,2,
張明秋,5,
