author_name,rating,text
陳明達（Yves）,5,熱騰騰出爐的鴨蛋糕富有香氣且外脆內鬆軟，冷了之後仍有Q彈口感。
- CHENANJU,5,去的時候，架上已經有烤好的，點餐時，老闆特別問需不需要現烤的，感覺還不賴！
Tank Yang,2,不熱 不怎麼樣
王小圭,5,心目中第一名的雞。。。蛋糕(￣∇￣)鴨？？
may eat,3,口感特殊，微麻糬感，好吃不過甜且香，但小空洞。
Simon,5,真的很好吃，外酥內綿密，蛋奶味十足。每次來通化街必吃，隱身在巷弄中真的很可惜，
Entzu,5,鴨蛋糕超好吃 冷熱都好吃👍老闆也超客氣人很好～
劉人瑜,5,"好吃！熱熱吃香，冷掉也Q很神奇。
老闆人很好還給你選要不要等現烤，
哪像外面很多家只能吃冷的根本沒的選。。"
黃大便,1,5顆30元，但是很空虛⋯
Yu Sophia,5,"老闆人很客氣，鴨蛋糕酥香脆口，10顆55元，
營業時間為中午與晚上，中間休息。"
Desiree Niu,5,身為本格派雞蛋糕愛好者，起初對鴨蛋糕不以為意，一度還以為只是個噱頭，殊不知一口咬下⋯⋯那Q嫩的口感，越咀嚼越是香氣撲鼻，微妙的滋味是沒在雞蛋糕上體驗過的，現在只要去通化夜市一定先來一包，我要將鴨蛋糕的美宣導給所有熱愛各類蛋糕人士。不管雞還是鴨，能做出好吃的蛋糕就是好的🐣🦆
曾秉中,5,"(由 Google 提供翻譯) 好吃

(原始評論)
好吃"
