author_name,rating,text
Denise Lin,5,"清爽的口感，不甜也不膩（雖然葡萄酒的口味吃不太出酒味) , 但道地義大利人做的就是滿分。

還有要糾正廣大不懂甜點的網友，提拉米蘇下面是浸濕的手指餅乾，不是海綿蛋糕（雖然吃來很像），拜託別再說底層是海綿蛋糕了😓(快昏倒）"
李芸辰,5,奶油甜而不膩，抿起來很綿密細緻，入口即化，餅乾口感鬆軟，沒有吃過沒酒的，加酒的不會搶味
Jim Wu,4,"好吃的提拉米蘇
底層是海綿蛋糕
加酒的風味多一點層次
我覺得份量不多 大概比手掌小一點
嚐鮮或喜歡吃甜點的可以買"
yuyuan Lin,5,"有賣提拉米蘇跟奶酪，奶酪個人覺得一般般，但提拉米蘇真的好吃！
提拉米蘇有分加酒跟不加酒的，都是50；有些人覺得加酒比較好吃，不過個人平常沒喝，吃起來覺得不加比較好XD"
Mi Miyake,5,"只要去通化夜市就必來報到
提拉米蘇非常好吃甜度也不會太膩口
一份只要$50 蛋糕體濕潤鬆軟奶油綿密
可選有沒有酒味或是水果提拉米蘇
老闆人很可愛還會一直開玩笑
每次都現場吃完一盒再外帶2盒回去"
0ㄣ,2,"原味提拉米蘇$50
上層白色為濃郁奶油，下層為海綿蛋糕，上頭的可可粉點綴著，自己覺得口味還好，可能是離開冰箱久了，每個人的觀點角度口味都不一樣！"
christine k,5,提拉米蘇/咖啡酒，$50。奶酪/原味，$25。老闆說最不苦的是咖啡酒 😁 手指餅乾的濕度剛剛好，上層的起司餡很順口，讓人忍不住一轉眼嗑完一個。奶酪好奶好綿密！價錢親民又比尋常的糕點麵包店做得更更更好吃！這家也是臨江必吃甜點。下次要挑戰酒味濃的口味。
Cindy tseng,1,"提拉米蘇的製作環境可能得注意一下了。
一根頭髮就算了，居然還有兩根！
而且都是很長的頭髮（怕
原本看這家店評價很高，很期待的...
這個首次的購買經驗真的有點失望..."
SF C,5,完全顛覆原本對台式提拉米蘇的既定印象，每口吃下去，都讓口腔充滿濃郁的酒香！非常值得回購的銅板美食。
chen Li,4,提拉米蘇蠻好吃的，就一個小小的攤子，老闆外國人，每次經過常看到排隊人潮
黃若水,5,提拉米蘇真的值得一吃再吃，優良品牌，優良服務態度臨江夜市還有其他特色順便介紹一下，杜記麵館是一家臨江街的老店他的高麗菜水餃🥟是我老公的最愛偶爾也會點小菜配飯，而我最喜歡💕他的美濃板條滿滿一碗加一點辣椒非常好吃斜對面好递食肉蛋碳烤(三明治)的三明治超級美味又豐盛，來不及拍照就知道了。還有很多都是我蠻喜歡的順便介紹一下）台南意麵🍝）（得聚火鍋）（台灣鹹酥雞）（紅花鹹水雞）（陳記炒牛羊）（新疆烤肉串）（蕃薯王）（楊婆婆八寶粥）（今日壽司店）（石家割包）（難忘20年老攤蟹肉蟹腳 …
鄭羽彤Jenny Cheng,2,Sorry...我真的覺得普普通通 買了6盒 便宜但我寧願多花點錢吃更好吃的🥲
珊瑚Coral,5,超愛吃，必囤貨，越吃越上癮越吃越好吃，吃不到好想念，咖啡酒大推！巧克力奶酪也不錯❤️
Yanen안은,5,"真的很好吃
J’adore 😍C’est bon
我們有共同的法國🇫🇷朋友，推薦我們吃，多年來吃上，應該10年了吧⋯⋯🥰"
周宜玫,5,"今天買的是有酒精(葡萄酒)口味
真的很喜歡 很好吃！！"
自由國度,5,道地的提拉米蘇（ㄧ盒50）會讓人ㄧ口接著ㄧ口，手工奶酪（ㄧ個25）口感軟嫩，除了好吃，重點是價格也十分親民，會讓人ㄧ訪再訪的小攤子。
游志傑,5,這裡的奶酪跟提拉米蘇也在通化夜市是一個傳奇了，提拉米蘇巧克力味很濃郁，奶酪很香純，從臨江夜市裡開始：（台南意麵🍝）（得聚火鍋）（台灣鹹酥雞）（紅花鹹水雞）（快樂地瓜球）（陳記炒牛羊）（新疆烤肉串）（蕃薯王）（楊婆婆八寶粥）（今日壽司店）（石家割包）（難忘20年老攤蟹肉蟹腳胡椒蝦）（胡記米份湯）（金興發）（義大利提拉米蘇）（古早味擔仔麵）（口吅品麻辣臭豆腐）（阿香越南小吃）（雅口麻辣豆腐）（艋舺雞排）（上海生煎包）（紅螞蟻🐜鐵板燒）（紅林鐵板燒）（自己來紅茶鮮乳）（碳蠔霸野 …
With Luck,5,$50提拉米蘇甜而不膩（奶油綿密、蛋糕鬆軟微濕）+ $25香草奶酪如果凍般滑順，CP值高！下次再試試其他口味！
月巴月易,5,"奶酪原味軟硬味道剛剛好

奶酪原味軟硬味道剛剛好

奶酪原味軟硬味道剛剛好

奶酪咖啡巧克力軟硬味道剛剛好

奶酪咖啡巧克力軟硬味道剛剛好

奶酪咖啡巧克力軟硬味道剛剛好

芒果奶酪口味更加分

提拉米蘇有酒沒酒都好吃

買500元老闆還會多多殺迷失～～～～

稀有攤位的義大利人，很肯吃苦，多多支持

流動攤位大家多多支持，找一下，就在附近"
Vera,5,驚艷~超好吃的精緻堤拉米蘇$50，很大份且口感很綿密!巧克力不會太甜，奶油比較像卡士達，蛋糕體鬆軟濕潤，甜而不膩，有分帶酒味的跟無酒味的，酒味有四種1.葡萄酒:偏淡2.咖啡酒:偏重3.萊姆酒:偏甜4.橙香甜酒:偏香，我選第四種
黃莉婷,5,很好吃！提拉米蘇有分為有酒精和沒有酒精的，有酒精的還有分成葡萄酒、萊姆酒等四種不同的口味，一份才50元，便宜又好吃！！！
Wan-yin Lo,5,"奶酪每個口味都深得人心、口齒留香TuT
非常平價美味的甜點！！！"
張嘉紘,4,好吃 口感綿密 老闆親切
ZI Jun Chen,5,"推薦橙香口味～～～
好吃到會在3分鐘內吃完!!  吃到旁邊的路人問我到底多好吃❤️
最上層白白的是非常綿密的泡沫，巧克力味重。
老闆一個星期只出來三天，七點多去就快賣完，動作要快!"
王八蛋,5,奶酪🧀️很棒，意大利人來台灣打拼事業，很努力💪，需要支持一下
Avery,5,好吃又便宜，cp值很高，每週只賣三天，今天差點買不到，九點左右見底了，剩沒幾個。
ピピ,5,"19點到已經在排隊
輪到我的時候，咖啡奶酪已經賣完了😥
共買了三個含酒的提拉米蘇、芒果提拉米蘇和兩個奶酪
老闆非常親切，甜點都好吃，會再訪"
黃滄佑,4,"平價，樸實蛋糕與乳霜的組合，口感比起承德路的提拉米蘇，口感層次不同。份量不大，當成旅人或學生半夜小點心剛剛好，有路過 可以> 奶酪+提拉/人>的方式嘗嘗鮮即可。
^^奶酪意外的細緻柔滑，小朋友很愛喔…"
