author_name,rating,text
YTS,1,"不專業的業務，不在意顧客需求與體驗，只想叫人趕快簽約的健身房

前一陣子去詢問入會價格，業務查詢與確認後告知有公司特約價
在我已做完簽約動作後過幾天，才又告知價錢有問題，需要再爭取看看
但是直到我到館內上課當天，才被告知確定原簽約特約廠商價無法達成，
只能用一般會員價，原本答應因為新會員系統設定尚未完成，會幫忙安排登記的課程也根本沒有安排，讓我白跑一趟。

True YOGA 價格比其他健身房昂貴，服務卻沒有成正比，
要運動的你我值得更好的選擇!"
楊謦榕,1,不推好幾年前在這被強迫簽約，說什麼免費體驗，結果我還是噴了一千多。離開台北後近幾年一直接到推銷電話，都說不要打還一直打，聽不懂人話？謝謝客服提醒我這段回憶讓我上來留負評
李彼得,5,"TRUE YOGA FITNESS瑜珈 - 台北古亭店

（內容/照片後補）"
盧威涵,5,加入健身房時間將近10年，還是很喜歡這裡，環境整潔5星之外，器材也都會定期更新保養，加上教練素質也是超專業，想起來以往參加的另外一間連鎖的簡直不能比。服務也是令人感動，像上次生理期臨時來，痛到無法自拔，第一次遇到男顧問有止痛藥跟女性用衛生棉，完全救火，事後問他，他才說因為會館內女性會員同事比較多，怕女生例假來的時候措手不及，所以都有幫女生準備，而且有什麼問題都能儘速為我們解決，真的大推貼心顧問Edison👍
Diony,5,"當初因為不想一直做有氧運動，所以上了教練課。感謝Nina教練溫柔又有耐心的教導，也很不厭其煩回答重訓新手的各種問題!上課氣氛愉快，常覺得一小時很快就過了，但都有訓練到!

還有要感謝認真負責的顧問Eric，依照我的運動喜好跟習慣給建議，也很關心後續的運動狀況!

上次運動後身體不舒服，Vivian客服及熱心的教練即時給予協助，覺得感激也覺得安心~總體而言避開尖峰時段去運動蠻舒適的，而且廁所隨時有阿姨打掃，很乾淨!"
nancy wu,5,上了一個多月的一對一課程，真心覺得不錯，假日人比較少，因為我本身就想找離家近的健身房，所以價錢小貴還可以接受，顧問（Fiona）也會定期關心健身狀況，還會分享一些健康資訊，例如怎麼吃比較健康等等，教練（Orton）也很專業，因我本身沒有在健身，教練會針對肌群講解，也會幫忙注意姿勢是否正確，是否用到要訓練的肌群，整體下來，除了荷包比較吃緊，其他都很不錯，真心推薦！👍👍👍👍
林妤庭,4,"以前是在worldgym 健身中心，雖然全真的月費貴一點，但我喜歡團課結束後立馬有人進來清理、廁所也是隨時有人在旁邊整理，讓學員用起來很安心。
入會一個多月了，今天報名了教練課，選擇帶我試上的orton教練，他的試上課程都是很有耐心的講解，也隨時學員注意動作是否正確。讓我覺得和我在看別的教練帶課很不ㄧ樣。☺️"
Yu-Ting Chen,5,這邊的課程以及老師都非常不錯，每天開的課都非常多元，只要沒滿人都可以用app報課，非常方便。設施和衛浴設備都非常乾淨，隨時都有清潔人員在清掃，運動完洗完澡還有蒸氣室使用，很舒適！除了價格較其他健身房高一些以外，其他都不錯。
Nina Lee,5,這裡環境很棒 很喜歡來這裡運動 超推薦顧問Edison 介紹與說明十分有條理 講話幽默長的又帥 運動及瑜伽選全真古亭店就對了 讚讚讚！
H Thc,1,"如果真心想要好好運動，
或是想要找好的場地還有教練，
真的希望大家不要來這裡，
我是在這裡一簽約就三年的客人，
從顧問到教練素質都非常不好，
顧問一開始簽約時，
就會一直要你趕快付錢，
或是什麼折扣所以一定要今天，
各種理由逼迫你，
心裏總是只有想著錢，
而不是真心對待每一個相信他們的客人，
結果簽完約完全沒有服務到，
每次看到客人只會一直要求有沒有親朋好友也要來，
說自己很缺業績，
但是請問你缺業績到底乾我有什麼事情？
有一次朋友想來試上課程，
這也是給他們一次機會， …"
