author_name,rating,text
6 6,5,"這家麵包超超超超好吃！
有到台北的話一定會去買的店，而且麵包排得整整齊齊超級療癒啊
裸賣很環保很加分！"
Jimmy Wang,3,"價格是不貴
可是味道是真的很普通"
詹琇安,2,店員態度不佳，只是提醒店員已經包好的吐司內有飛蟲，結果店員臉臭臭的把吐司拿進櫃檯，一句話都沒說…
C Mickey.,2,"#0303
交通方便近捷運
價格不便宜偏貴
其實沒那麼好吃
回購推薦品項：
－紫米地瓜吐司＄39
－鮪魚香鬆＄39
麵包袋子統一很大倒是很方便
排隊路線真的很怪（往左排）
就是不直覺的路線（店員會糾正）"
An Romeo,4,別的我不清楚，我只愛吃他們的法式硬蒜麵包😁
Lohas Astro,1,"今天去買麵包時，有一位學生用手直接拿裸裝的麵包去結帳，女店員還跟他說不要直接用手去拿麵包，後來因為學生零錢不夠就取消其中一個麵包的購買，他結完帳後，女店員竟然要把那個麵包再擺回去架上販售！！
後來經過其他客人的勸導才做罷！店員的教育真的需要大大加強！"
邱志成,1,爛，送貨過去還要停車費而且30分鐘後是100元，乾脆不要賣好了
Lance HSU (風秤子),4,"芋頭肉鬆麵包口感不錯
甜甜鹹鹹的，略略甜一點
麵包本體鬆軟好入口
價格就這種麵包店的價格
略高一點點"
曾俊傑,5,麵包種類很多，服務人員也很親切
Yonton Kormar,2,外觀看起來很不可口，非常古老的配方，但價格也不便宜！
盧亭君,5,服務親切，蛋塔，太陽餅好吃，價錢貴了一些，士林店下午三點才營業是有點晚了..
Scarlette,5,這家的麵包好好吃！尤其是肉鬆麵包，是我吃過最好吃的! 還有一種像花的奶油麵包也特別好吃！
林麗惠,1,麵包看起來還好，結帳才發現是冷的，回家吃發現內餡很少。
陳建萍,1,價格偏貴！焗烤鮪魚和焗烤馬鈴薯麵包，這兩種口味，外觀類似很易混淆的！多拿滋咖哩豬肉少，很鹹欸！焗烤鮪魚土司出爐時間不一定，明太子偏硬！今天驚喜買到傳統麻花卷，不黏牙的脆脆口感，不錯吃哦！昨晚買的鮪魚多拿滋，裡面幾乎沒有鮪魚欸！忘了包內餡？
陳朝進,3,"蔥卷肉鬆麵包，肉鬆好多呀~
草莓丹麥新品不錯吃喔~"
