author_name,rating,text
安,5,"認真超好吃⋯⋯⋯⋯老闆娘親切人超級好🥰
檸檬塔一定要的🍋🤤💛"
Chen Olivia,4,大推蕾夢塔
Ting-Hsin Chang,5,抹茶提拉米蘇太好吃啦
黃子瑋,5,"台大、師大學區附近的特色外帶甜點店，每天出爐的甜點不同，特殊節慶也會有節慶甜點，非常值得嘗試。老闆娘、店員也非常親戚，若是自己也對烘焙有興趣，可以他們變成很好的朋友哦！
備註：如果特別想吃什麼先預約，不然很容易撲空。"
李仲強,5,"味美價廉，服務親切
香蕉蛋糕包裝很不錯
下次還會來"
阿裕Sam,5,起司蛋糕很好吃 建議可以先電話預約自己想要的產品
星辰夜空,5,東西好吃，記得要預訂
Pei-Ju Hsieh,3,我覺得巧克力蛋糕有點膩 不過價格實惠 且店家人親切
Yi-Chun Chen,5,"2018.04.20
請直接看fb專頁的菜單及介紹，現為不對外開放的工作室，要購買需直接去電下訂、約定碰面地點時間｡
好吃不貴用料紮實｡"
蔡淳安,5,"大推👍👍👍👍👍👍👍巧克力好吃到炸掉
超級純 又不太甜真的很棒
下次要嘗試香蕉磅蛋糕！！"
林俊延,5,"便宜好吃，每天都有不一樣的蛋糕
需要先預訂"
yun Chuang,4,好吃價格又好的甜點!! 但目前是工作室沒有店面喔!!!! 所以要打電話預訂跟店家約時間拿比較好!
han kai lu,4,高中同學會吃完午餐後，到台大獸醫館前草皮續攤野餐，中途來這裡買了起司蛋糕當飯後甜品，蛋糕體綿密，用料實在，價位還可以接受
謝子琪,5,起司蛋糕200台幣，量有點小，不過真心好吃，店主長得很美哦，還讓我試吃～
李佩潔,4,好吃的甜點用料實在
林蓉蘭,5,用料實在，好吃
Astrid W,5,"CP極高～
起士蛋糕超棒！！綿密如冰淇淋，如果遇上藍莓醬口味的，更值得買
巧克力也非常純，不太甜是王道！！"
Vicky Chou,5,蛋糕都可試吃而且都很不錯不算貴，私心推薦香蕉磅蛋糕❤
N K,5,"香蕉磅蛋糕超好吃
不喜歡香蕉類甜點的我 也吃得很開心！"
Guru fang Wang,1,我在這裡完全沒看到這家店...
方幼人,5,用料很實在、天然的蛋糕店，而且很好吃～
Amber Yuan,5,"推薦起司蛋糕
2013年已經搬到 台北市溫州街７４巷３弄７號１樓"
Tina Liao,5,香蕉蛋糕怎麼吃都不膩～～
林政宏,5,"香蕉 巧克力 乳酪的很好吃
用料實在"
GH Wu,3,材料講究，平價實在
eileen wu,5,用料實在~ 便宜好吃
Kenyon (kenyon0619),5,很好吃 會想再回購
陳怡伶,1,找不到這家店
Phiphy Lin,5,超級好吃！！
Pon Peng,5,蛋糕很香醇、價格不貴
Chi-Ting Lin,5,岩漿巧克力蛋糕極好吃
方冠雅,5,巧克力蛋糕無敵美味！
Meng,5,蛋糕好吃   態度親切
Amy Tsai,5,"(由 Google 提供翻譯) 這間原本位置在台大附近，而且我是有超愛他們香蕉蛋糕，所以大學時期比較常吃
後來搬家又搬家，最後到了古亭站那邊了
我其實不太喜歡乳酪蛋糕，但是那天看到他們生乳酪的照片覺得超神奇!根本就像豆腐啊!
所以就跑去買他們的覆盆莓生乳酪蛋糕，超好吃阿
酸酸甜甜的~然後口感真的很滑嫩很Q
今天要給大家看的是 『彩虹生乳酪』
這可是我冒著生命危險(?)，好啦，冒著大雨去拿的
建議大家拿出來後馬上吃，不然很快就融化
像我好不容易把照片弄好時，就已經融化了=口= …"
簡宏昌,5,"(由 Google 提供翻譯) 巧克力蛋糕味道濃鬱、起司蛋糕風味絕佳，CP值頗高。

(原始評論)
巧克力蛋糕味道濃郁、起司蛋糕風味絕佳，CP值頗高。"
Jenny Chen,5,"(由 Google 提供翻譯) 很好吃~~~一口接一口

(原始評論)
很好吃~~~一口接一口"
Jessica lin,5,👍👍👍
程安安,5,"(由 Google 提供翻譯) 蛋糕很好吃

(原始評論)
蛋糕很好吃"
Hsu Roxana lis,5,"(由 Google 提供翻譯) 超好吃喔～

(原始評論)
超好吃喔～"
Ya Chieh Chuang,5,"(由 Google 提供翻譯) 接骨木莓好吃到不能再好吃了

(原始評論)
接骨木莓好吃到不能再好吃了"
MR ONG,5,"(由 Google 提供翻譯) 香濃蛋糕，回味無窮，贊。

(原始評論)
香浓蛋糕，回味无穷，赞。"
于铭,4,"(由 Google 提供翻譯) 岩漿巧克力蛋糕真的很棒，喜歡

(原始評論)
岩浆巧克力蛋糕真的很棒，喜欢"
Nekomata Hakuno,5,"(由 Google 提供翻譯) 巧克力超好吃的！根本天堂

(原始評論)
巧克力超好吃的！根本天堂"
Von,4,"(由 Google 提供翻譯) 目前尚沒有店面，要嘗鮮的記得先打電話聯絡，免得撲空

(原始評論)
目前尚沒有店面，要嘗鮮的記得先打电話联絡，免得撲空"
HAOCHEN CHANG,5,"(由 Google 提供翻譯) 超好吃 用料很棒

(原始評論)
超好吃 用料很棒"
Vivian Ruan,5,
굿밤정아,5,
曹達俊,3,
Joy Huang (Joy),5,
Elena Lin,5,
Tiffany Chou,4,
Liru W,5,
Ying Syuan Shen,5,
Sean Wang,4,
Pei-Ling Chin,4,
Ying-Jen Huang,5,
Terry Chen,4,
Annie Lee,5,
HuiYu Tsai,5,
Quark Li,4,
Z.T Chang (Terry),5,
YICHE LIN,5,
Heidi K,1,
Angus Lu,4,
Yifan Yin,3,
Mary Wang,5,
Cute Sunshine,5,
Irvin Chen,5,
Wu冠儀,4,
