author_name,rating,text
楊于萱,5,今天點奶油口味的，好吃的古早味點心~
吳漢堡,4,便宜好吃的古早味點心~
M Ch,5,銅板價的古早味，每次經過都會買
sun dae,4,比饒河夜市的麵煎餅好吃太多了
Amy Chang,4,簡單的平價美食，現1塊是30元，在公館真是佛心價，吃的是回憶，但也是真的味美
Yu Cheng Liu,5,老闆非常客氣，麵煎餅也很讚
Liz Chou,4,古早味煎餅，一塊$25想當平價，芝麻口味不會很甜，吃起來口感像厚厚的軟鬆餅。
KiKi Liu,3,"2020/04/28（二）15:05
❖ 芝麻（$30）內餡的芝麻偏甜。"
Keenyah Yang,5,推薦花生口味
Darren Liu,5,$25 現在能買到這麼一大片的零食，實在是少之又少，以前不太會買這類食物，但車輪餅時在漲得過份了，所以我都改吃這個 XD 懷念以前五元就能吃到車輪餅的年代。
A-Kwon Fang,3,從小時候吃的就是這家，買的不是花生還會覺得吃起來不對勁，到現在25元一塊的價格實在太便宜雖然好像變小塊了。
曼曼喜歡你 Jaslikeu,5,便宜阿！老闆根本佛心價
enjoy519,4,簡單好吃的古早味甜點
C Chang,4,"(由 Google 提供翻譯) 相當不錯而且便宜很多

(原始評論)
Pretty good and cheap with big portion"
aaron chen,5,"(由 Google 提供翻譯) 好吃

(原始評論)
好吃"
Lorentz Lin,4,
紫嵐輕撫,4,
Clarence Liu,4,
Subang Hsu,5,
